C_ph,abs_CDOM_440,abs_X_440
-1.13925588560869e-05,-0.00124816192262198,-0.0011339101929292
-1.56818650248864e-05,-0.0012971335014246,-0.00120702279906736
-2.08033845022409e-05,-0.00133595285132333,-0.00127334180053879
-2.7144466624173e-05,-0.00135693166293995,-0.00132475299164631
-3.34772274746961e-05,-0.00139445939690691,-0.00139445939690691
-3.91097179657254e-05,-0.001478454105491,-0.00151436622570007
-4.60196818926785e-05,-0.00157276738575814,-0.00165010138878882
-5.3153303900453e-05,-0.00170069178533057,-0.00182765751571093
-6.01321161244826e-05,-0.00184578827783075,-0.00203176817703603
-6.96441869405755e-05,-0.00196680058859946,-0.00221756147133036
-7.99400700676415e-05,-0.00210686797288277,-0.00243318834064241
-8.62809064354623e-05,-0.00220333359839798,-0.00260640397901535
-9.22225228016751e-05,-0.00230739864460366,-0.00279580690855103
-0.000100433945692624,-0.00247377127661288,-0.00307020341650777
-0.000106116107125213,-0.00257992867787572,-0.00327973213963934
-0.000102113940571602,-0.00256899563387173,-0.00334516165103827
-9.67225386752658e-05,-0.00265160972340837,-0.00353660383628049
-9.10317568918596e-05,-0.00255711565846049,-0.00349341555742496
-7.7645659726473e-05,-0.00202121991592464,-0.00282837190607842
-5.03429519463153e-05,-0.00122144002110224,-0.00175072591036704
-2.46055998731425e-05,-0.000563184878170081,-0.000826837311709631
-2.17399373862897e-05,-0.000377915800661817,-0.000568312487354577
-2.36967959092034e-05,-0.000307575270708711,-0.000473768990027818
-2.32706455897414e-05,-0.000245129985479271,-0.000386753919102521
-2.07782173614548e-05,-0.000194492342762391,-0.000314314096560827
-1.87503789546769e-05,-0.000144798748111943,-0.000239689619498082
-1.99464215788986e-05,-8.33572183930214e-05,-0.000141335317989321
-2.41684039190781e-05,-5.76275296407822e-05,-0.000100083055740876
-2.01356196347706e-05,-4.68481315424283e-05,-8.33385415791284e-05
-9.66725575484694e-06,-3.86126073932034e-05,-7.03567578632535e-05
-2.46377563839764e-06,-2.51605075025689e-05,-4.69590339073647e-05
-5.71800851637938e-07,-1.26939836829218e-05,-2.4267260938701e-05
-1.15246912315476e-07,-4.66019789516802e-06,-9.12536513999718e-06
4.52256177523223e-09,-1.67021656575608e-06,-3.34997639021254e-06
2.82584800406225e-08,-7.25498812531518e-07,-1.49048885474745e-06
5.11639164666434e-08,-5.94759453697705e-07,-1.25157375736246e-06
7.47935291529587e-08,-5.10999512386682e-07,-1.10143442935642e-06
1.01161336379824e-07,-4.53835922543176e-07,-1.00198241203275e-06
1.37951579020868e-07,-4.3226581494176e-07,-9.77541465962954e-07
1.95993681764585e-07,-4.46192543371767e-07,-1.03354567275233e-06
2.73750565537984e-07,-4.65343928098289e-07,-1.1040900190578e-06
