C_ph,abs_CDOM_440,abs_X_440
-8.25926317356141e-07,-9.04879924903385e-05,-8.22050850637678e-05
-1.18598912038894e-06,-9.80996978318742e-05,-9.12847997023025e-05
-1.65480956097127e-06,-0.000106268648312419,-0.000101288239213624
-2.29677061014172e-06,-0.000114813851624398,-0.000112091122623164
-2.99133061391179e-06,-0.000124600792791981,-0.000124600792791981
-3.61486932942098e-06,-0.000136651928954835,-0.000139971247749514
-4.39505325618278e-06,-0.000150205219499661,-0.000157590908575616
-5.19248790120601e-06,-0.000166138713325291,-0.00017854185613091
-6.0004147705471e-06,-0.000184186021703782,-0.00020274443285143
-7.19536182955916e-06,-0.000203202054661622,-0.000229109676865439
-8.52762235626424e-06,-0.000224750546403696,-0.00025956083442392
-9.66333757173988e-06,-0.00024677019776562,-0.000291913501353753
-1.08380897350459e-05,-0.000271167962066242,-0.000328566224781123
-1.22022419060838e-05,-0.000300551325842901,-0.00037301496551543
-1.35735041790518e-05,-0.000330003367438658,-0.000419516500459597
-1.41553765050016e-05,-0.000356122780431341,-0.000463717513744721
-1.41999989690519e-05,-0.000389287293886503,-0.00051921477162355
-1.47327290246608e-05,-0.000413847797374372,-0.000565380110582912
-1.54410954035837e-05,-0.000401952274774412,-0.000562467504203361
-1.38032439139658e-05,-0.000334899601349016,-0.000480021449538077
-9.82584590693635e-06,-0.000224898716493238,-0.000330184025459678
-1.03568993818586e-05,-0.000180038969419358,-0.000270743891502517
-1.24345999535943e-05,-0.000161396311194792,-0.000248604405590812
-1.33730227307011e-05,-0.000140869700204443,-0.000222257218064711
-1.29427786221314e-05,-0.000121149533296493,-0.000195786659598078
-1.26711033464772e-05,-9.78518837513583e-05,-0.000161977096413854
-1.49682111151747e-05,-6.25529966838975e-05,-0.000106060972858035
-1.92480068404354e-05,-4.5895255989477e-05,-7.97073463337559e-05
-1.65800057812822e-05,-3.8575534595143e-05,-6.86223481694868e-05
-8.18287389069946e-06,-3.26837424086207e-05,-5.95536615098683e-05
-2.16866689882144e-06,-2.21468054671799e-05,-4.13343247852583e-05
-5.24693574894484e-07,-1.16482017457047e-05,-2.22680254119081e-05
-1.09697554436541e-07,-4.43580050883152e-06,-8.68596146383468e-06
4.39826278052323e-09,-1.62431199874568e-06,-3.25790496735598e-06
2.77745326031108e-08,-7.13074107071858e-07,-1.46496312721866e-06
5.04184643703819e-08,-5.86093880142183e-07,-1.23333847856671e-06
7.38449857329744e-08,-5.0451893538251e-07,-1.08746586292638e-06
1.00026396183099e-07,-4.48744287244112e-07,-9.90741060776203e-07
1.36534361394252e-07,-4.27825019579597e-07,-9.67498891560083e-07
1.94075091076416e-07,-4.41824745128803e-07,-1.02342824914108e-06
2.7118419760171e-07,-4.60981402913861e-07,-1.09373935103964e-06
