C_ph,abs_CDOM_440,abs_X_440
-1.43307884370193e-06,-0.000157007259512045,-0.000142635445528254
-2.04731829487203e-06,-0.000169344981871966,-0.000157580737682453
-2.83893655322064e-06,-0.000182310978417602,-0.000173766753284975
-3.90984831906965e-06,-0.000195450404492882,-0.000190815436872804
-5.05659822514874e-06,-0.000210627385937834,-0.000210627385937834
-6.08341514586144e-06,-0.000229969699747952,-0.000235555736860041
-7.36411260990877e-06,-0.00025167571051284,-0.000264050770128008
-8.6736306408249e-06,-0.00027752126956151,-0.000298239715425651
-9.99427794888971e-06,-0.000306779841994155,-0.000337690691725707
-1.19278603949262e-05,-0.000336851126792394,-0.000379798584909389
-1.40741627625535e-05,-0.000370932909421681,-0.000428384522420011
-1.58401810450597e-05,-0.000404506681062662,-0.00047850576228066
-1.76443499166252e-05,-0.000441459936745455,-0.000534903989775658
-1.97705208902816e-05,-0.000486964306388344,-0.000604372559146986
-2.18265441029081e-05,-0.000530653909152236,-0.000674593331124512
-2.2485499326202e-05,-0.00056569308040692,-0.00073660491045016
-2.23559324391114e-05,-0.000612878948829404,-0.00081743177454468
-2.28309460588738e-05,-0.000641329703588677,-0.000876155584336877
-2.30865422813082e-05,-0.000600973437706614,-0.000840965584257646
-1.93946292748308e-05,-0.000470559938876474,-0.000674467401705367
-1.27054923753209e-05,-0.000290809458512589,-0.000426950580913266
-1.28263222170304e-05,-0.000222966135737467,-0.00033529807162043
-1.50212520140566e-05,-0.000194970057230938,-0.000300319225557788
-1.57688600290775e-05,-0.0001661071419375,-0.000262075600460065
-1.49279433640765e-05,-0.000139731461414467,-0.000225816437972924
-1.42826039292568e-05,-0.000110296606470413,-0.000182577211347053
-1.63652586059766e-05,-6.83913367759065e-05,-0.000115960099404501
-2.06730586973779e-05,-4.92931724758353e-05,-8.56085860229613e-05
-1.762770160671e-05,-4.1013134864535e-05,-7.29586161211775e-05
-8.62645479346178e-06,-3.44554773952426e-05,-6.27819731383017e-05
-2.25863377707968e-06,-2.30655629547211e-05,-4.30490741402021e-05
-5.39360278518635e-07,-1.19738026886797e-05,-2.28904811549143e-05
-1.11457211061084e-07,-4.50695511014064e-06,-8.82529282549421e-06
4.43808919835071e-09,-1.63902019868106e-06,-3.28740540672188e-06
2.79303407075216e-08,-7.17074272493718e-07,-1.4731811999094e-06
5.0658637718228e-08,-5.8888579637969e-07,-1.23921360854387e-06
7.41507022874269e-08,-5.0660763225272e-07,-1.0919679467632e-06
1.00392235237968e-07,-4.5038553587635e-07,-9.94364622027283e-07
1.36991120661521e-07,-4.29256256672349e-07,-9.70735542614661e-07
1.94693189884926e-07,-4.43231887833309e-07,-1.02668770803342e-06
2.72010611398478e-07,-4.62386209664367e-07,-1.09707244086478e-06
