C_ph,abs_CDOM_440,abs_X_440
-1.88320501958977e-07,-2.35867522455849e-05,-2.14277156710416e-05
-2.70938778022504e-07,-2.57138933825856e-05,-2.39275722440913e-05
-3.79677751643202e-07,-2.80481846107897e-05,-2.6733672418731e-05
-5.30847457295364e-07,-3.05660680513267e-05,-2.9841215441998e-05
-6.96550150326922e-07,-3.34380329114794e-05,-3.34380329114794e-05
-8.47639062104633e-07,-3.68680135131067e-05,-3.77635492813358e-05
-1.03717891144861e-06,-4.07243551052912e-05,-4.27267983334848e-05
-1.23178842002157e-06,-4.52030386206487e-05,-4.85776870216031e-05
-1.4293948413299e-06,-5.03061211173674e-05,-5.53749187943211e-05
-1.73055478638415e-06,-5.58098100938667e-05,-6.29253851680775e-05
-2.08689305600598e-06,-6.2047922674615e-05,-7.16581598638955e-05
-2.42593009797594e-06,-6.88330235312012e-05,-8.14251035566402e-05
-2.7781309436387e-06,-7.64673875458085e-05,-9.26532789985852e-05
-3.16870607810475e-06,-8.54016508518015e-05,-0.000105992192042756
-3.5793397812268e-06,-9.49595713410834e-05,-0.000120717274382237
-3.82459621401921e-06,-0.000104812791379481,-0.000136479690988226
-3.92052007566346e-06,-0.00011670943554834,-0.000155662062122716
-4.2054312303389e-06,-0.000127737221080658,-0.000174508804053886
-4.71226474641057e-06,-0.000132377071419408,-0.000185240402027362
-4.76412539916214e-06,-0.000124767483541749,-0.000178832904141062
-4.08434544480787e-06,-0.000100941548178523,-0.000148196873834621
-4.76863442331529e-06,-8.93945065066144e-05,-0.000134432099053915
-6.06392183313135e-06,-8.4869780415367e-05,-0.000130727902989804
-6.92994574063639e-06,-7.87426692498429e-05,-0.000124236273556772
-7.12486766167942e-06,-7.20534523225193e-05,-0.00011644373988805
-7.44048061484245e-06,-6.21257333529718e-05,-0.00010283855062684
-9.46037796837217e-06,-4.27869210377255e-05,-7.25468436595188e-05
-1.24768021594503e-05,-3.23384321088141e-05,-5.6162898591935e-05
-1.12129128177212e-05,-2.83957777495449e-05,-5.05134917175712e-05
-5.98418167622831e-06,-2.57934581118026e-05,-4.69987449526007e-05
-1.72110494380935e-06,-1.87901266340692e-05,-3.50694910920553e-05
-4.40809548509631e-07,-1.04545143432296e-05,-1.99860369992338e-05
-9.52220115320247e-08,-4.16877998839115e-06,-8.16309531014259e-06
5.08526630547961e-09,-1.56917928771076e-06,-3.14732452881757e-06
2.63153342936691e-08,-6.98427879329669e-07,-1.43487343053446e-06
4.74846205639424e-08,-5.7632534394893e-07,-1.21278219573453e-06
6.95200813257982e-08,-4.97659811728139e-07,-1.07268135772626e-06
9.42460885286379e-08,-4.43809049621761e-07,-9.79845005503435e-07
1.28778330367807e-07,-4.24024696756109e-07,-9.58904704799084e-07
1.83253732196088e-07,-4.38709320070447e-07,-1.01621178141727e-06
2.56437040832956e-07,-4.58641304924245e-07,-1.08818715904153e-06
