stationID,BDA-01,MAN-F01,MAN-F05,MAN-F11,MAN-F18,MAN-F21,MAN-F22,OUT-F01,OUT-F03,OUT-F18,OUT-F21,MAN-R21,MAN-R22,MAN-R23,MAN-R24,MAN-R25,OUT-R11,OUT-R12,OUT-R13,OUT-R14,OUT-R15,MAN-F0,MAN-F0,MAN-F03.5,MAN-F08,MAN-F12,MAN-F14,MAN-F15,MAN-F16,OUT-F52,OUT-F53,OUT-F54,OUT-F55,MAN-R11.5,MAN-R12A,MAN-R12B,MAN-R13,MAN-R14,MAN-R15,OUT-R01,OUT-R02,OUT-R03,OUT-R04,OUT-R05,MAN-R01,MAN-R02,MAN-R03,MAN-R04,MAN-R05,OUT-R06,OUT-R07,OUT-R08,OUT-R09,OUT-R10,MAN-R06,MAN-R09,MAN-R10,OUT-R21,OUT-R22,OUT-R23,OUT-R24,OUT-R25
sunzen,76.98186124,36.78473416,41.79623327,54.23115653,60.51358209,82.16706711,74.82076187,37.54654635,51.21357946,64.04289994,80.62196337,43.43788194,38.08475524,36.36698653,37.11026859,42.38149686,57.3709978,51.63376768,40.77917001,36.62049062,38.00373002,40.53273333,42.0087853,37.04285996,64.39901308,55.80821353,49.5853812,43.57910335,39.21949772,52.83961448,45.66191881,40.59113254,36.8116823,37.19618198,41.76732599,39.44628895,49.34798373,57.62789847,62.71992487,63.71845297,47.2922446,44.37314676,38.79799203,38.55506948,76.61359071,69.79775315,68.28999335,63.07079798,57.25052519,42.99776478,38.95521651,37.35682022,38.37886216,44.7992273,63.40012343,74.01674125,64.94882067,58.50833087,49.86673792,42.18158461,38.10472356,41.74170693
latitude,49.24872,49.20245,49.13445,49.06885,49.07007,49.04124,49.03323,49.00568,49.01753,49.02487,49.05396,49.0598,49.0599,49.04002,49.29,49.009,49.02667,49.00927,48.99428,48.9775,48.956,49.2358,49.2356,49.1774,49.0865,49.053,49.06,49.06256,49.06663,49.0092,49.003,48.9964,49.1103,49.0879,49.0835,49.0835,49.0727,49.06005,49.0511,49.0158,48.9989,48.981,48.9622,48.94568,49.18781,49.18875,49.18682,49.18617,49.1854,49.0087,49.006,49,48.971,48.9543,49.13,49.12584,49.12699,49.07177,49.05127,49.0348,49.0189,49.00126
longitude,-68.11626,-68.0803,-68.108833,-68.18949,-68.28295,-68.28975,-68.33463,-68.60852,-68.60864,-68.37059,-68.33538,-68.2881,-68.2865,-68.32658,-68.2915,-68.28663,-68.43502,-68.44135,-68.43633,-68.4473,-68.43745,-68.1128,-68.1134,-68.0945,-68.1451,-68.2712,-68.2575,-68.2672,-68.27365,-68.4791,-68.4641,-68.4527,-68.1067,-68.152,-68.1411,-68.1411,-68.1184,-68.09615,-68.07315,-68.5861,-68.5872,-68.5879,-68.5858,-68.58476,-68.11232,-68.09014,-68.0616,-68.03629,-68.01104,-68.516,-68.5195,-68.515,-68.515,-68.5107,-68.1153,-68.04104,-68.01998,-68.33379,-68.33171,-68.3313,-68.3325,-68.33138
Bottom.depth,NA,NA,5.458631,6.929488,4.070299,NA,NA,3.304715,3.532141333,NA,5.38774325,3.1849695,9.1891355,NA,NA,NA,3.2201055,NA,NA,NA,NA,NA,NA,8.102688667,6.1062145,NA,6.276115,5.441371,2.954786,NA,NA,NA,NA,2.353273,6.0468065,4.086916,NA,NA,NA,5.790229,15.23989333,NA,NA,2.701956,2.656184,10.98101,NA,NA,NA,NA,8.192343,NA,NA,NA,2.961436,NA,NA,2.618079,8.2716376,NA,NA,NA
Rrs_340_mean,0.000216979,NA,3.50E-05,NA,NA,NA,0.000344868,NA,NA,0.000549247,NA,NA,NA,NA,0.000236347,0.000588194,NA,NA,0.000197143,0.000336543,0.000292828,0.000344468,NA,0.00017783,NA,NA,NA,NA,NA,NA,NA,8.31E-05,NA,NA,0.000156295,NA,0.000234767,0.000286706,0.000614319,NA,NA,4.54E-05,NA,NA,0.000341545,4.09E-05,NA,NA,NA,3.50E-05,4.21E-05,0.000188893,NA,0.000389732,NA,0.000109322,NA,5.91E-05,0.000181897,0.00057394,NA,0.000323176
Rrs_380_mean,0.000237744,NA,6.45E-05,0.000138535,0.000177971,0.000130995,0.000448584,NA,NA,0.000395293,NA,NA,0.000172353,0.000274034,0.00030145,0.000824997,NA,0.000195737,0.000363155,0.000514888,0.000480181,0.000207588,0.000155581,0.000292076,NA,8.78E-05,0.000242544,NA,NA,NA,NA,0.000104001,0.000210179,2.52E-05,0.000608212,NA,0.000438395,0.000399104,0.000706118,0.000440245,0.00038226,0.000222408,0.000212653,0.000279503,0.000518362,0.000101347,3.43E-05,NA,NA,6.51E-05,0.000214831,0.000278241,0.000242826,0.000484377,0.000276989,0.000117079,0.000102084,0.000147172,0.000189254,0.000909704,NA,0.000538227
Rrs_395_mean,NA,8.01E-05,0.000141155,0.000147741,0.00022082,0.000149517,0.000541629,NA,NA,NA,NA,9.74E-05,0.000202436,0.000231546,0.000401175,0.000991182,NA,NA,NA,NA,NA,0.000214211,NA,0.000308416,4.45E-05,8.09E-05,0.000244768,6.64E-05,0.000405286,NA,NA,NA,NA,5.49E-05,0.000735448,1.67E-05,0.000373225,0.000582309,0.000877139,NA,NA,NA,NA,NA,NA,0.00020036,NA,NA,NA,9.63E-05,0.000165062,0.000307886,0.000353006,0.000571389,0.000315909,NA,NA,NA,NA,NA,NA,NA
Rrs_412_mean,0.000325072,0.000105482,0.000207943,0.000183867,0.000149845,0.000154821,0.000593949,0.000167573,0.000166773,0.00044741,0.000154454,0.000211074,0.000211337,0.000257008,0.000470917,0.001072551,0.000277361,0.00027454,0.00050993,0.000654189,0.00063137,0.000251052,0.000175223,0.000317455,7.15E-05,0.000111561,0.000223917,9.48E-05,0.000449944,2.57E-05,7.56E-05,0.000197871,0.000162404,7.07E-05,0.000836198,1.99E-05,0.000392186,0.000709279,0.001005995,0.000898796,0.000584934,0.00036397,0.000290128,0.000300526,0.000572642,0.000270455,6.90E-05,NA,0.000114051,0.000114396,0.00020022,0.000362525,0.000411812,0.000610633,0.000389772,0.00022518,0.000244084,0.000368476,0.000443036,0.001336367,0.000567691,0.00073822
Rrs_443_mean,0.000514466,0.000213376,0.00047962,0.000291695,0.000235635,0.000338163,0.000822309,0.000238565,0.000263216,0.000586157,0.000216652,0.000376603,0.000320613,0.000393802,0.000730747,0.001410675,0.00040755,0.0003982,0.000728225,0.000840209,0.000849584,0.000412656,0.000344281,0.000503324,0.00018547,0.000240467,0.000364702,0.000245469,0.000603387,7.80E-05,0.000157554,0.000269862,0.000337029,0.000103948,0.001296354,0.000136994,0.000607097,0.001346789,0.001504609,0.001607006,0.000986566,0.000752211,0.00058799,0.000642691,0.000927528,0.000534306,0.000199165,6.51E-05,0.000287154,0.000246865,0.000364017,0.000583161,0.000648946,0.000827438,0.000742384,0.000455823,0.000524299,0.000893161,0.000991885,0.001913783,0.001181554,0.001021371
Rrs_465_mean,0.000712867,0.000326344,0.000751556,0.000313558,0.000315034,0.000520624,0.00099093,0.000402651,0.000408888,0.000822913,0.000301409,0.000394027,0.000416254,0.000500786,0.000977848,0.001737195,0.000500676,0.000585652,0.000990011,0.001096746,0.001121725,0.000511982,0.000476165,0.000845924,0.000311886,0.000310461,0.00053925,0.000302504,0.000730496,0.000153273,0.000161839,0.000337044,0.000429226,0.000255033,0.001735578,0.000300917,0.000871744,0.001782438,0.001848287,0.002012042,0.001420518,0.001050562,0.000798206,0.000829714,0.001364484,0.000776903,0.000334236,0.000150251,0.000423321,0.000441772,0.000647373,0.000807747,0.00081005,0.001030758,0.000859231,0.000696124,0.000783285,0.001610116,0.00178579,0.002301265,0.001692047,0.001242555
Rrs_490_mean,0.000993214,0.000493784,0.001276144,0.000432628,0.000418387,0.000793012,0.001301344,0.000540669,0.000662377,0.001038027,0.000410977,0.000438046,0.000559751,0.000676281,0.00130783,0.002186419,0.000679504,0.00087311,0.001349624,0.001462135,0.001448221,0.00075164,0.000757247,0.001511839,0.000492975,0.000505197,0.000720445,0.000488755,0.00100923,0.00032446,0.000315218,0.000532108,0.000637303,0.000346451,0.002219203,0.000511219,0.001227728,0.002411089,0.002318286,0.002790997,0.002061639,0.001571259,0.001258624,0.001311594,0.002090758,0.001060183,0.000582108,0.000264255,0.000683316,0.000999959,0.000874948,0.001052207,0.001062137,0.001292233,0.001343628,0.001045596,0.001196324,0.002624612,0.00279598,0.003120602,0.002590793,0.001630631
Rrs_510_mean,0.001253587,0.000652792,0.001693042,0.000549271,0.000503006,0.001044522,0.001559625,0.000700054,0.000885133,0.001282546,0.000520328,0.000604227,0.000649983,0.000833246,0.001508638,0.002529932,0.000969453,0.001148363,0.00163819,0.001790238,0.001658413,0.000939675,0.001013682,0.001908463,0.000655697,0.000674305,0.000867759,0.000649294,0.001283542,0.000523796,0.000500678,0.000737245,0.000837059,0.0005564,0.002520793,0.00073249,0.001505361,0.002819643,0.002560947,0.003479999,0.002697828,0.002044731,0.001712133,0.001750702,0.002785876,0.001251707,0.000828948,0.000387408,0.000963371,0.00148908,0.00105075,0.001237668,0.001233247,0.001457552,0.001835553,0.001343808,0.001533824,0.003459668,0.003619986,0.003865185,0.003280499,0.001931434
Rrs_532_mean,0.001467895,0.000897951,NA,0.000744735,0.000657779,0.001399212,0.001925387,0.000919945,0.001108203,0.001495872,0.000617224,0.000927284,0.000839498,0.001062299,0.001767419,0.002985624,0.001375228,0.001397574,0.001947707,0.002088529,0.001839002,0.001215789,0.001270798,0.002555478,0.000912589,0.000936916,0.001101656,0.000919154,0.001756502,0.000734489,0.000690095,0.000928771,0.001032146,0.000963438,0.003060269,0.00111633,0.001872827,0.00337965,0.002875021,0.00409519,0.003288264,0.002489213,0.00212849,0.002175378,0.00345706,0.001482514,0.00106587,0.000576902,0.00123611,0.002442184,0.001335915,0.001506135,0.001565523,0.001698414,0.002636862,0.001600424,0.001804363,0.004363108,0.004463685,0.004589455,0.004002568,0.002225665
Rrs_560_mean,NA,0.001197263,0.003137521,0.001077087,0.000977845,0.001878827,0.002394928,NA,NA,NA,NA,0.001444693,0.00110877,0.001377447,0.002038095,0.003532343,NA,NA,NA,NA,NA,0.001558215,NA,0.003480384,0.001309042,0.001276291,0.001455383,0.001279142,0.00250797,NA,NA,NA,NA,0.001634461,0.003722258,0.001718873,0.002224472,0.003918327,0.003191577,NA,NA,NA,NA,NA,NA,0.001812176,NA,0.000850249,NA,NA,0.001718241,0.001864909,0.00200043,0.001999399,0.003766504,NA,NA,NA,NA,NA,NA,NA
Rrs_589_mean,0.001568798,0.001197003,0.002467895,0.001055686,0.001121009,0.001655936,0.002087326,0.002005754,0.001886768,0.00179069,0.000842441,0.001672163,0.001103349,0.001334671,0.00161646,0.002831344,0.002634372,0.001595179,0.002087688,0.00221839,0.001480019,0.001348733,0.001524163,0.003023615,0.001300916,0.001190821,0.001449293,0.001178494,0.002733454,0.001086971,0.001066331,0.001237084,0.001245356,0.002107935,0.0034177,0.002089625,0.002015398,0.003407779,0.00266856,0.004758012,0.004383687,0.003010871,0.002750424,0.002473957,0.003786504,0.001515261,0.001428894,0.000930932,0.001641702,NA,0.001757451,0.001609374,0.001913233,0.001583802,0.003635129,0.001652499,0.001834292,0.005512903,0.005438351,0.005229451,0.00421258,0.001998519
Rrs_625_mean,0.000865105,0.000816963,0.001063438,0.000778209,0.000751476,0.00098763,0.001263822,0.001620824,0.001435047,0.001068755,0.000620247,0.001117432,0.000729756,0.000848821,0.000820358,0.001383845,0.001438591,0.000849624,0.001082486,0.001107679,0.000674613,0.000835462,0.000970223,0.001052881,0.000831608,0.000791383,0.000967778,0.000835253,0.001864133,0.000731038,0.000879846,0.000911818,0.000817111,0.001506763,0.002313542,0.001858209,0.001323937,0.00255313,0.001783379,0.003550932,0.003187766,0.002180047,0.002109007,0.00191751,0.001599437,0.000833361,0.000870949,0.000673483,0.000984596,0.002255032,0.001200109,0.00094572,0.001374174,0.000843255,0.001899527,0.000925154,0.001034721,0.003065435,0.003188581,0.003633073,0.002409678,0.001008396
Rrs_665_mean,0.000624142,0.000667304,0.00071188,0.000569715,0.000598194,0.000767701,0.001028152,0.001252394,0.00115623,0.000803696,0.000506711,0.000740958,0.000604987,0.000689836,0.000617928,0.001020596,0.000872319,0.000641202,0.000811033,0.000844111,0.000491432,0.000640275,0.0007452,0.000683248,0.000741815,0.000633293,0.0007514,0.000745444,0.001340858,0.0006318,0.000833504,0.000768764,0.000639937,0.00106572,0.001847846,0.001740477,0.000997656,0.002001396,0.001378862,0.002859222,0.002560435,0.001775928,0.001820542,0.001712121,0.000908215,0.000669118,0.000717076,0.000598935,0.000767693,0.001372832,0.001003262,0.000697602,0.001087984,0.000632856,0.001219436,0.000694199,0.000774404,0.002036066,0.002172313,0.002740871,0.001779667,0.00068529
Rrs_683_mean,0.000831566,0.000778123,0.000862883,0.000648897,0.000708047,0.001050047,0.001581076,0.001310351,0.00115754,0.001079298,0.000646031,0.001030643,0.00079098,0.000959375,0.000836537,0.001562957,0.001073761,0.00085952,0.001235003,0.001347254,0.000654281,0.000722447,0.000789695,0.000725417,0.001009038,0.000861054,0.000882386,0.000992188,0.001450905,0.000661557,0.000860353,0.000795026,0.000715954,0.001050569,0.001822051,0.001737487,0.000965128,0.001914589,0.001388746,0.002813452,0.002498453,0.001803551,0.001843617,0.001733473,0.001037854,0.000903567,0.001043853,0.000679518,0.001112267,0.001280102,0.000889604,0.000830311,0.00120707,0.000861408,0.001260975,0.000762774,0.000821871,0.001891691,0.001980606,0.002723526,0.001720922,0.000744085
Rrs_694_mean,0.000721813,0.000659304,0.000673527,0.000521274,0.000609535,0.000801018,0.00114668,0.00138175,0.001182549,0.000971866,0.000597613,0.000990899,0.00065721,0.000772853,0.00059518,0.001173936,0.001079084,0.000742672,0.001041947,0.001131994,0.00051535,0.000579617,0.000689552,0.000644324,0.000759647,0.000664762,0.000792747,0.000730055,0.001264588,0.000558616,0.000718059,0.000669346,0.000610263,0.001004366,0.00166617,0.001520514,0.000878116,0.001638765,0.00119109,0.002473225,0.002278325,0.001614104,0.001633616,0.001558421,0.000820304,0.000669543,0.00086756,0.000584403,0.00092251,0.001140446,0.000960335,0.000699378,0.00104485,0.000627273,0.000973668,0.000633004,0.000682716,0.00172574,0.001882829,0.002505916,0.00150771,0.000622155
Rrs_710_mean,0.000437433,0.000457632,0.000457511,0.000368858,0.000435793,0.000475376,0.00067,0.000815472,0.000738708,0.000580256,0.000361168,0.000630764,0.000397225,0.000469019,0.000335515,0.000609448,0.000619607,0.000397682,0.00054747,0.000591489,0.000254818,0.000381638,0.000440001,0.000374767,0.000460367,0.000408749,0.000531434,0.000504033,0.000794708,0.000346546,0.00050448,0.000429814,0.000385813,0.000514651,0.001294488,0.001064538,0.000602983,0.001268095,0.00093404,0.001786244,0.001512504,0.001102046,0.001175382,0.001214523,0.000412021,0.000348716,0.000493827,0.00036354,0.000485721,0.000404715,0.000683846,0.000443422,0.000712655,0.000342239,0.000500476,0.00038329,0.000414821,0.001052686,0.001144663,0.001816865,0.001042135,0.000376591
Rrs_780_mean,6.65E-05,0.000100602,8.98E-05,0.000162929,8.94E-05,4.68E-05,9.39E-05,0.000171658,0.000120771,9.59E-05,4.36E-05,0.000184373,5.97E-05,6.76E-05,5.39E-05,9.52E-05,0.000108774,4.79E-05,7.24E-05,0.000108912,3.20E-05,0.000102221,9.22E-05,5.05E-05,3.43E-05,6.62E-05,8.11E-05,6.89E-05,0.000148834,5.32E-05,8.87E-05,6.79E-05,8.75E-05,6.68E-05,0.000331281,9.63E-05,0.000103682,0.00017936,0.000307717,0.000611833,0.000263591,0.000158169,0.000184305,0.000283499,0.00019072,1.79E-05,3.12E-05,2.42E-05,1.66E-05,4.23E-05,0.000206264,8.53E-05,0.000111263,3.11E-05,0.00010914,6.72E-05,6.04E-05,0.000137107,0.000155252,0.000252512,8.25E-05,3.90E-05
