wavelength,StationOUT-F01,StationOUT-F18,StationOUT-F21,StationOUT-F23,StationOUT-F50,StationOUT-F54,StationOUT-F55,StationOUT-R01,StationOUT-R03,StationOUT-R05,StationMAN-R01,StationMAN-R03,StationMAN-R05,StationMAN-R09,StationMAN-R10,StationOUT-R21,StationOUT-R22,StationOUT-R23,StationOUT-R24,StationOUT-R25
360,3.62204527,3.46369467,4.220934576,3.610172686,3.757078011,4.185092984,3.960429479,4.826086827,4.275837408,4.895919765,1.666605229,2.478396674,2.219099299,2.17035052,2.004162766,3.523569303,2.770808364,2.558689169,2.340176244,1.477856121
361,3.748106308,3.54695953,4.073470699,3.691142306,3.732853632,4.204926712,4.021970179,4.153554857,4.177819657,4.867289301,1.577375376,2.46291166,2.206438436,2.173736984,1.970955429,3.097307975,2.890374242,2.573899928,2.331279826,1.442780749
362,3.474986891,3.364411798,4.153304891,3.637340513,3.765667095,4.193555022,3.877688922,4.585625316,4.158647923,4.857631486,1.651923706,2.449027241,2.199105152,2.16073111,1.956252632,3.387616674,2.806384123,2.455788781,2.324420037,1.460662953
363,3.510271041,3.336675797,4.089654454,3.649042383,3.643528335,4.160550043,3.842527646,4.423523635,4.113463624,4.905493859,1.582930974,2.402492519,2.135386034,2.115543848,1.91878013,3.451217544,2.792209673,2.440206311,2.280842083,1.430213295
364,3.491375231,3.29398011,4.013780573,3.557302901,3.589685883,4.105402817,3.801587667,4.427337796,4.065501686,4.809197347,1.582159558,2.366044033,2.1434569,2.093962363,1.904822005,3.192742464,2.748446032,2.458512786,2.241017004,1.414477823
365,3.431030694,3.295767678,3.903662088,3.558426277,3.540309119,4.037411384,3.773106417,4.293948976,4.031483705,4.739697039,1.578046206,2.33434197,2.091395779,2.082691802,1.868655988,3.203738296,2.727547494,2.44605654,2.227985386,1.380696411
366,3.373960781,3.214695049,3.97213998,3.476805309,3.569242264,4.046559289,3.662195041,4.269522737,3.977076839,4.694758863,1.54587487,2.295879302,2.062257631,2.02406229,1.837722973,3.105343608,2.669615879,2.375442288,2.194209,1.36311984
367,3.326801764,3.142727932,3.840269894,3.420695681,3.490934471,3.898219106,3.613218049,4.250882055,3.852814123,4.589830826,1.51100225,2.27148968,2.034796662,1.998529781,1.821736231,3.012801936,2.634339681,2.297591685,2.144324275,1.349591455
368,3.304727354,3.130657392,3.803434062,3.424009535,3.429419287,3.881893899,3.609352324,4.145071025,3.869700497,4.556797979,1.491892856,2.236706987,2.016793734,1.963924583,1.791161498,2.947547465,2.588640962,2.286277288,2.122188702,1.333591637
369,3.241933567,3.08464218,3.788682106,3.340392859,3.370911128,3.844978937,3.536242862,4.104167562,3.817961678,4.450596019,1.46873511,2.213544407,1.971922116,1.932320598,1.757447474,3.010531644,2.591777595,2.299482559,2.079195585,1.29784392
370,3.203808781,3.021630605,3.669440554,3.290016098,3.33426052,3.77025009,3.446775176,4.079147911,3.748105697,4.374941636,1.438225096,2.18010071,1.949624907,1.917294246,1.722260418,2.892811912,2.528338334,2.248469101,2.054613323,1.285512121
371,3.156185105,2.999079487,3.618591331,3.223061757,3.300553397,3.73894984,3.424413289,3.94289727,3.69436602,4.292513161,1.438552927,2.13955848,1.913182569,1.872357278,1.706571572,2.983753991,2.488126753,2.217303637,2.030571609,1.290314992
372,3.144850628,2.976625486,3.527406055,3.192903316,3.217264291,3.70056997,3.376448032,3.921657577,3.637968361,4.276412685,1.401104667,2.105724744,1.896642222,1.848629533,1.683513484,2.891048051,2.451829467,2.199611085,1.996078598,1.269362395
373,3.077790486,2.95665086,3.545697495,3.157800917,3.16823879,3.619092161,3.331606761,3.90580747,3.604604852,4.194441022,1.38505781,2.100997459,1.868646267,1.818789583,1.663670608,2.882488698,2.442989692,2.163440421,1.955496204,1.250393657
