,X,X1.25,X0.75,X1,X0.5,X0.75,X1.75,X0.75,X1,X1.5,X0.75,X1,X1.5,X1.25,X0.75,X1,X1.25,X1
1,wavelength,MAN-F21,MAN-F22,MAN-R22,MAN-R23,MAN-R25,MAN-F0,MAN-F03,MAN-F08,MAN-F14,MAN-R12,MAN-R13,MAN-R15,OUT-R07,OUT-R08,OUT-R09,MAN-R06,MAN-R07
2,399.1,1.83717729,1.434525336,2.339758388,1.617741025,0.773724683,1.413560312,0.906550552,2.505334565,1.563724505,3.427380834,1.221912877,0.799022701,2.410557247,1.185558097,1.782185156,1.80567428,1.666198987
3,403.2,1.759965832,1.371967887,2.241435081,1.548009788,0.742213172,1.362220545,0.87817653,2.404000318,1.482063209,3.331081884,1.169295431,0.768652173,2.307404283,1.136313884,1.698497275,1.735569074,1.580747158
4,407.5,1.675632613,1.302086218,2.127351533,1.460776595,0.72090344,1.296800016,0.828204988,2.27069033,1.400890984,3.16885698,1.11799385,0.732754454,2.185014095,1.083893978,1.626366343,1.648572597,1.510221756
5,411.7,1.585428193,1.241669164,2.011504801,1.383492541,0.690289121,1.230829544,0.789429252,2.138299431,1.324959957,3.013957725,1.05721489,0.694188375,2.06785426,1.023996223,1.535005854,1.549000381,1.424397353
6,415.5,1.505764279,1.180656202,1.899206266,1.316892754,0.663917914,1.16873829,0.753744083,2.016868803,1.254186147,2.861941578,1.004265873,0.665405368,1.956972452,0.976085401,1.446143735,1.465992869,1.343320688
7,420.3,1.417448611,1.11343036,1.784013302,1.237409071,0.633439316,1.103721462,0.716898394,1.893215163,1.178520874,2.710131259,0.95001748,0.626641909,1.834209048,0.919387746,1.36406862,1.376155661,1.260197431
8,425.3,1.336574025,1.054511866,1.677120939,1.165101596,0.608041389,1.036575924,0.673923198,1.773571782,1.108778982,2.562182807,0.893236953,0.589514117,1.719111722,0.870335615,1.288431626,1.289288898,1.181111711
9,429.9,1.260783925,0.999378602,1.578000469,1.099034847,0.581527718,0.9789771,0.639183094,1.661264197,1.044242235,2.415253204,0.841402954,0.558517139,1.615464877,0.817935273,1.206492481,1.209814364,1.103916476
10,434.3,1.184352002,0.945592181,1.475031363,1.033448657,0.555371665,0.922633156,0.606264412,1.556629535,0.983451118,2.279933865,0.788990881,0.526225338,1.51338337,0.775315093,1.13450604,1.133481549,1.034652543
11,438.9,1.113461284,0.88827252,1.382591389,0.968149073,0.527319332,0.864027305,0.569172372,1.452906889,0.922666309,2.148962764,0.741801333,0.495709888,1.416084894,0.727650303,1.068620726,1.056535695,0.970619847
12,443.3,1.048470541,0.839448017,1.297471103,0.909890498,0.501111334,0.814768206,0.538118444,1.36337565,0.867379155,2.025523185,0.701896416,0.469788216,1.331033085,0.686968342,1.001322664,0.99333947,0.906887839
13,448.6,0.981367364,0.787710844,1.214471964,0.852869956,0.473143262,0.764694777,0.504754103,1.278070567,0.813382581,1.913962896,0.657266886,0.441434455,1.249285934,0.644298632,0.93820921,0.929321664,0.846785962
14,453.4,0.922560291,0.742700767,1.14108398,0.800137572,0.448867175,0.719665511,0.475411302,1.19835931,0.765690449,1.810565949,0.620438509,0.416699739,1.172209613,0.607205517,0.886568349,0.871578768,0.79559501
15,458.2,0.869798168,0.702158319,1.072831325,0.752304505,0.427095031,0.678640198,0.449978761,1.124910133,0.721546505,1.716548707,0.585730559,0.394175011,1.103131129,0.573074341,0.831887777,0.819882321,0.746200492
16,462.9,0.818671082,0.663522206,1.010452826,0.709944739,0.405426551,0.642686651,0.426331674,1.060111733,0.681453986,1.631650683,0.553248906,0.373854599,1.040514384,0.540836986,0.784194191,0.771512237,0.701388311
17,467.6,0.772643184,0.626124637,0.952626071,0.667503324,0.385439954,0.606799649,0.401989779,0.999526814,0.643282149,1.551568396,0.523789084,0.35295912,0.981999336,0.510792994,0.739887828,0.727121162,0.661437655
18,472.7,0.728586178,0.590815074,0.898725668,0.628346551,0.365828957,0.574019059,0.38081892,0.941402568,0.607007385,1.477927859,0.49631026,0.333874517,0.92769927,0.482834307,0.700230772,0.685787427,0.622788537
19,478,0.687952863,0.558609355,0.847998866,0.59297126,0.347371205,0.542486956,0.360609617,0.889385723,0.572508268,1.410416638,0.469822733,0.315985019,0.878242189,0.453097391,0.659318103,0.648776581,0.586800632
20,483.1,0.651915351,0.529522512,0.802880637,0.560812881,0.33252445,0.51491879,0.342435334,0.842089156,0.542554218,1.346047212,0.447282239,0.30092458,0.832081378,0.430494481,0.625488736,0.614356014,0.55568378
21,488.1,0.619389012,0.504236531,0.760641798,0.531098546,0.319180354,0.489603464,0.325864496,0.796858038,0.514730475,1.285428437,0.426091812,0.287285896,0.789504081,0.407702407,0.594196317,0.581938058,0.526666167
22,492.8,0.58766722,0.479359066,0.721695986,0.503793128,0.305666559,0.465711013,0.311048913,0.754847315,0.489118145,1.226246395,0.405215919,0.275037757,0.74972932,0.386383797,0.561686759,0.552198679,0.499049839
23,497.7,0.555755258,0.453891792,0.682745402,0.476490436,0.289936668,0.442643366,0.29607196,0.715144747,0.463316966,1.169646337,0.385221119,0.262108065,0.710776822,0.364939402,0.532615567,0.524087211,0.472685065
24,502.6,0.527030576,0.430080191,0.648081905,0.451171579,0.274681206,0.420716333,0.281165056,0.67797563,0.440355105,1.117886372,0.367441864,0.250832118,0.676114427,0.346050083,0.505557651,0.497252428,0.449203723
25,507.8,0.498520562,0.405714834,0.613977559,0.426528883,0.258074957,0.398904532,0.266145774,0.642397868,0.416511189,1.068166805,0.349106278,0.238602948,0.643034526,0.326138073,0.479019353,0.471394701,0.425035368
26,513.2,0.470716728,0.382975817,0.580699475,0.402316049,0.242048298,0.377724699,0.252208026,0.60837588,0.393325166,1.020743936,0.330783291,0.22721729,0.609927141,0.307048336,0.452266362,0.446482937,0.401523242
27,518.5,0.446222666,0.361872617,0.550347929,0.380944762,0.22888718,0.358057599,0.23958657,0.575580166,0.373179387,0.976564657,0.315641514,0.216540381,0.579477273,0.290379871,0.430029597,0.423452928,0.380141403
28,523.5,0.423705349,0.343749674,0.523546465,0.361659343,0.217754541,0.341242786,0.228079936,0.547060077,0.354978235,0.936867436,0.301500454,0.206966413,0.552572204,0.275097449,0.409834939,0.403063923,0.361104293
29,528.9,0.401587716,0.325451854,0.497048553,0.342945687,0.206871223,0.324664792,0.217318669,0.518768745,0.337035859,0.898890451,0.287105561,0.1969707,0.525711333,0.259328947,0.388583727,0.383389603,0.342331193
30,533.7,0.380658718,0.30838598,0.472226008,0.324516749,0.19735368,0.309060471,0.20668302,0.492711128,0.320185223,0.862643941,0.273987154,0.187365569,0.500628081,0.245446561,0.369611007,0.364398366,0.325071488
31,538.5,0.362131725,0.293249515,0.449801155,0.308012899,0.189056204,0.295398219,0.19712133,0.468923672,0.305102957,0.830553006,0.262655833,0.179132122,0.478120696,0.232563957,0.352059547,0.347582265,0.309423883
32,543.7,0.342816557,0.277118149,0.427340508,0.290890324,0.179782762,0.280869267,0.18688444,0.445399818,0.289574511,0.798659246,0.250469944,0.169971545,0.455536224,0.219240808,0.333871473,0.330824645,0.293753513
