X,X1.75,X0.75,X0.75,X0.5,X0.75,X1.5,X0.75,X1,X1.5,X0.75,X1,X1.5,X1.25,X0.75,X1,X1.25,X1
wavelength,StationMAN-F21,StationMAN-F22,StationMAN-R22,StationMAN-R23,StationMAN-R25,StationMAN-F0,StationMAN-F03.5,StationMAN-F08,StationMAN-F14,StationMAN-R12B,StationMAN-R13,StationMAN-R15,StationOUT-R07,StationOUT-R08,StationOUT-R09,StationMAN-R06,StationMAN-R07
412,0.01535922,0.013847147,0.012914995,0.016796938,0.015197313,0.014127084,0.014509558,0.011536584,0.011945293,0.064551405,0.031481036,0.017715308,0.024178299,0.018458732,0.02196254,0.017132894,0.013782072
440,0.011666117,0.011345872,0.011023384,0.012500713,0.012891072,0.01213426,0.012445084,0.009964446,0.010020983,0.04988097,0.023259078,0.013823126,0.020018625,0.017144566,0.018475275,0.01294121,0.011398622
488,0.012991257,0.012410212,0.011558945,0.01342456,0.014011494,0.012167745,0.012269472,0.010438862,0.010421802,0.050976054,0.024158221,0.016194141,0.019617111,0.019322786,0.019028144,0.01316475,0.012528641
510,0.012497361,0.013020806,0.012086189,0.014586802,0.014384856,0.013102253,0.013047353,0.010989672,0.011127204,0.055075615,0.026532379,0.016335787,0.020941398,0.018060645,0.020472775,0.013117022,0.01135505
532,0.010762508,0.011531411,0.010854126,0.013148158,0.012530646,0.011513935,0.011322054,0.009395845,0.009821297,0.048431846,0.025792417,0.01415653,0.018753286,0.016456074,0.017975249,0.011017909,0.010238718
595,0.011784671,0.011766137,0.011760366,0.013553001,0.013627645,0.011800123,0.012052569,0.009856087,0.010593801,0.05275721,0.026225272,0.017138742,0.018785942,0.016993301,0.019673104,0.011645072,0.01057402
650,0.009034684,0.009639964,0.008732348,0.010472015,0.010243814,0.009147928,0.009108199,0.008236594,0.008256991,0.039345483,0.01809867,0.012701562,0.014726273,0.012318967,0.01633068,0.008922801,0.008158144
676,0.009462246,0.010304824,0.009106257,0.011594023,0.011001254,0.010162746,0.009380824,0.008218417,0.008448989,0.039207229,0.017938709,0.012908621,0.015171029,0.0117035,0.015411886,0.009307145,0.007977329
715,0.009142819,0.009479317,0.00914953,0.010686472,0.010446553,0.009220948,0.009122509,0.007836026,0.008320731,0.039375768,0.019051058,0.013113066,0.014618483,0.011887557,0.01527584,0.009445554,0.008033139
