,X,X0.5,X1.25,X1,X1.75,X0.75,X0.75,X0.5,X0.75,X0.75,X1.75,X0.75,X1,X1.25,X1.25,X0.75,X1,X1.25,X1,X1.25,X0.75,X1,X1.25,X1
1,wavelength,StationMAN-F01,StationMAN-F11,StationMAN-F18,StationMAN-F21,StationMAN-F22,StationMAN-R22,StationMAN-R23,StationMAN-R24,StationMAN-R25,StationMAN-F0,StationMAN-F03.5,StationMAN-F08,StationMAN-F14,StationMAN-R11.5,StationMAN-R12B,StationMAN-R13,StationMAN-R15,StationMAN-R04,StationOUT-R07,StationOUT-R08,StationOUT-R09,StationMAN-R06,StationMAN-R07
2,412,0.016020045,0.011965049,0.015055514,0.014698445,0.014606997,0.013406913,0.015776212,0.009328761,0.015177122,0.01457406,0.015014707,0.012028427,0.012928157,0.013831201,0.022308352,0.029594575,0.019857476,0.000705101,0.011565753,0.020945076,0.021639927,0.015559376,0.013725448
3,440,0.013442528,0.01026373,0.011933096,0.011262281,0.012362156,0.011337559,0.012035011,0.007561485,0.0128962,0.012420573,0.012732769,0.010322485,0.010686157,0.011834415,0.01857764,0.02071414,0.014267936,0.009609993,0.009962456,0.019259923,0.018367833,0.011755478,0.011343323
4,488,0.016212476,0.010616781,0.012296883,0.012379458,0.013748939,0.011809014,0.013040013,0.007893809,0.014011423,0.012653141,0.012626473,0.010646412,0.01154522,0.013485119,0.020579491,0.021697018,0.016841302,0.01273652,0.00953381,0.021072837,0.019119402,0.01235098,0.012572634
5,510,0.015220924,0.011522664,0.013789422,0.012149765,0.01410203,0.012238112,0.013832373,0.008986904,0.014479561,0.013471854,0.013776233,0.011131294,0.011349967,0.01261798,0.021040663,0.02433586,0.017307633,0.007465406,0.010361921,0.019083131,0.020686643,0.012511842,0.011459136
6,532,0.012315826,0.008994213,0.011955399,0.010641412,0.0124168,0.011054846,0.013158959,0.007976032,0.012627781,0.011864692,0.011647822,0.009471468,0.010145292,0.010905534,0.019105759,0.022458851,0.015551175,0.007678835,0.009173263,0.017426866,0.018039701,0.010619763,0.010287113
7,595,0.014046393,0.010528478,0.012961603,0.011399954,0.013832174,0.011961858,0.013303645,0.008495845,0.013669834,0.01253307,0.012520323,0.009926367,0.010891231,0.011311765,0.019199846,0.025141075,0.018963635,0.007911935,0.00944638,0.018010996,0.019276859,0.011419033,0.01030029
8,650,0.010713631,0.007577089,0.011165911,0.008916777,0.010402679,0.008955613,0.010271049,0.007022734,0.010232847,0.009340782,0.009409166,0.008316586,0.008429485,0.008843839,0.012509085,0.016514599,0.013368684,0.007749053,0.007184577,0.013444239,0.015122376,0.008582275,0.008061931
9,676,0.010009493,0.00747185,0.011586361,0.009582288,0.011191862,0.009291782,0.010941147,0.007529282,0.010983043,0.010091378,0.00954886,0.008271392,0.00866835,0.008918205,0.012439,0.016550909,0.013168892,0.008438986,0.00766428,0.012763069,0.015281331,0.008982165,0.008215356
10,715,0.011319068,0.007030013,0.011030453,0.009099184,0.010187575,0.009226347,0.010021278,0.007121842,0.010414401,0.009509423,0.0090302,0.007859386,0.008354242,0.008626913,0.012913786,0.017002138,0.013777143,0.008345598,0.007161663,0.012605124,0.014709619,0.009067071,0.008000031
