wave,station,at_w,boat
399.1,StationMAN-F03.5,1.670381367,saucier
403.2,StationMAN-F03.5,1.600443626,saucier
407.5,StationMAN-F03.5,1.52126148,saucier
411.7,StationMAN-F03.5,1.437920831,saucier
415.5,StationMAN-F03.5,1.368542466,saucier
420.3,StationMAN-F03.5,1.28460212,saucier
425.3,StationMAN-F03.5,1.208788739,saucier
429.9,StationMAN-F03.5,1.134296487,saucier
434.3,StationMAN-F03.5,1.068376173,saucier
438.9,StationMAN-F03.5,0.997426094,saucier
443.3,StationMAN-F03.5,0.937331678,saucier
448.6,StationMAN-F03.5,0.878857656,saucier
453.4,StationMAN-F03.5,0.826238593,saucier
458.2,StationMAN-F03.5,0.777736351,saucier
462.9,StationMAN-F03.5,0.732182536,saucier
467.6,StationMAN-F03.5,0.689852002,saucier
472.7,StationMAN-F03.5,0.65084172,saucier
478,StationMAN-F03.5,0.615264993,saucier
483.1,StationMAN-F03.5,0.581979256,saucier
488.1,StationMAN-F03.5,0.552461135,saucier
492.8,StationMAN-F03.5,0.523675011,saucier
497.7,StationMAN-F03.5,0.496332041,saucier
502.6,StationMAN-F03.5,0.472054685,saucier
507.8,StationMAN-F03.5,0.447520814,saucier
513.2,StationMAN-F03.5,0.424342234,saucier
518.5,StationMAN-F03.5,0.402527928,saucier
523.5,StationMAN-F03.5,0.383406822,saucier
528.9,StationMAN-F03.5,0.364394999,saucier
533.7,StationMAN-F03.5,0.346275367,saucier
538.5,StationMAN-F03.5,0.330057315,saucier
543.7,StationMAN-F03.5,0.313883898,saucier
548.5,StationMAN-F03.5,0.298469673,saucier
553.6,StationMAN-F03.5,0.28408181,saucier
558.7,StationMAN-F03.5,0.270583916,saucier
563.9,StationMAN-F03.5,0.257469755,saucier
569,StationMAN-F03.5,0.246004341,saucier
573.4,StationMAN-F03.5,0.235616936,saucier
578.1,StationMAN-F03.5,0.22686829,saucier
582.7,StationMAN-F03.5,0.218671025,saucier
587.1,StationMAN-F03.5,0.210823324,saucier
591.5,StationMAN-F03.5,0.202307158,saucier
596.1,StationMAN-F03.5,0.194533451,saucier
600.6,StationMAN-F03.5,0.18788576,saucier
604.8,StationMAN-F03.5,0.182879599,saucier
609,StationMAN-F03.5,0.176114854,saucier
613.7,StationMAN-F03.5,0.171805667,saucier
618.7,StationMAN-F03.5,0.166257884,saucier
623.4,StationMAN-F03.5,0.161154896,saucier
628,StationMAN-F03.5,0.156046013,saucier
632.7,StationMAN-F03.5,0.150665336,saucier
637.2,StationMAN-F03.5,0.145612677,saucier
641.8,StationMAN-F03.5,0.140275587,saucier
646.6,StationMAN-F03.5,0.13634297,saucier
651.2,StationMAN-F03.5,0.134275116,saucier
656,StationMAN-F03.5,0.134195255,saucier
660.6,StationMAN-F03.5,0.136877722,saucier
665,StationMAN-F03.5,0.139924437,saucier
669.6,StationMAN-F03.5,0.141845824,saucier
674,StationMAN-F03.5,0.139887964,saucier
678.3,StationMAN-F03.5,0.133734056,saucier
682.7,StationMAN-F03.5,0.124910489,saucier
686.6,StationMAN-F03.5,0.114561266,saucier
690.8,StationMAN-F03.5,0.104677839,saucier
694.7,StationMAN-F03.5,0.096410028,saucier
698.4,StationMAN-F03.5,0.089118875,saucier
702.3,StationMAN-F03.5,0.084006072,saucier
706,StationMAN-F03.5,0.079973278,saucier
709.7,StationMAN-F03.5,0.076068286,saucier
713.2,StationMAN-F03.5,0.071998026,saucier
716.8,StationMAN-F03.5,0.069523913,saucier
720.1,StationMAN-F03.5,0.066926781,saucier
723.7,StationMAN-F03.5,0.064052566,saucier
726.8,StationMAN-F03.5,0.059565565,saucier
730,StationMAN-F03.5,0.053833969,saucier
733.4,StationMAN-F03.5,0.048762338,saucier
736.7,StationMAN-F03.5,0.045681146,saucier
739.3,StationMAN-F03.5,0.044706597,saucier
742.4,StationMAN-F03.5,0.045355484,saucier
745,StationMAN-F03.5,0.044588414,saucier
