wave,station,at_w,boat
399.1,StationMAN-F08,2.578261523,saucier
403.2,StationMAN-F08,2.459166054,saucier
407.5,StationMAN-F08,2.325077643,saucier
411.7,StationMAN-F08,2.190021171,saucier
415.5,StationMAN-F08,2.058782223,saucier
420.3,StationMAN-F08,1.931243336,saucier
425.3,StationMAN-F08,1.812039203,saucier
429.9,StationMAN-F08,1.694125965,saucier
434.3,StationMAN-F08,1.585241556,saucier
438.9,StationMAN-F08,1.481510402,saucier
443.3,StationMAN-F08,1.388009185,saucier
448.6,StationMAN-F08,1.299969613,saucier
453.4,StationMAN-F08,1.220475192,saucier
458.2,StationMAN-F08,1.145270842,saucier
462.9,StationMAN-F08,1.07819824,saucier
467.6,StationMAN-F08,1.015999735,saucier
472.7,StationMAN-F08,0.958114763,saucier
478,StationMAN-F08,0.904257525,saucier
483.1,StationMAN-F08,0.856214156,saucier
488.1,StationMAN-F08,0.81083298,saucier
492.8,StationMAN-F08,0.767920567,saucier
497.7,StationMAN-F08,0.726853531,saucier
502.6,StationMAN-F08,0.689770035,saucier
507.8,StationMAN-F08,0.653667372,saucier
513.2,StationMAN-F08,0.618622516,saucier
518.5,StationMAN-F08,0.585819009,saucier
523.5,StationMAN-F08,0.556752643,saucier
528.9,StationMAN-F08,0.527980399,saucier
533.7,StationMAN-F08,0.501255372,saucier
538.5,StationMAN-F08,0.477566052,saucier
543.7,StationMAN-F08,0.453736748,saucier
548.5,StationMAN-F08,0.431327565,saucier
553.6,StationMAN-F08,0.410826168,saucier
558.7,StationMAN-F08,0.391391737,saucier
563.9,StationMAN-F08,0.372923972,saucier
569,StationMAN-F08,0.355711614,saucier
573.4,StationMAN-F08,0.33988806,saucier
578.1,StationMAN-F08,0.326125943,saucier
582.7,StationMAN-F08,0.312718949,saucier
587.1,StationMAN-F08,0.299867484,saucier
591.5,StationMAN-F08,0.286448963,saucier
596.1,StationMAN-F08,0.274134647,saucier
600.6,StationMAN-F08,0.263117504,saucier
604.8,StationMAN-F08,0.253998961,saucier
609,StationMAN-F08,0.245148176,saucier
613.7,StationMAN-F08,0.23657346,saucier
618.7,StationMAN-F08,0.226630441,saucier
623.4,StationMAN-F08,0.217783337,saucier
628,StationMAN-F08,0.208755531,saucier
632.7,StationMAN-F08,0.200457902,saucier
637.2,StationMAN-F08,0.191866106,saucier
641.8,StationMAN-F08,0.183587228,saucier
646.6,StationMAN-F08,0.176879819,saucier
651.2,StationMAN-F08,0.171807328,saucier
656,StationMAN-F08,0.169181805,saucier
660.6,StationMAN-F08,0.169450483,saucier
665,StationMAN-F08,0.170612397,saucier
669.6,StationMAN-F08,0.170334462,saucier
674,StationMAN-F08,0.166522317,saucier
678.3,StationMAN-F08,0.158867275,saucier
682.7,StationMAN-F08,0.148245591,saucier
686.6,StationMAN-F08,0.13594395,saucier
690.8,StationMAN-F08,0.124425335,saucier
694.7,StationMAN-F08,0.114447018,saucier
698.4,StationMAN-F08,0.10559525,saucier
702.3,StationMAN-F08,0.098915611,saucier
706,StationMAN-F08,0.093497274,saucier
709.7,StationMAN-F08,0.087886753,saucier
713.2,StationMAN-F08,0.082364118,saucier
716.8,StationMAN-F08,0.079196047,saucier
720.1,StationMAN-F08,0.074794293,saucier
723.7,StationMAN-F08,0.070173228,saucier
726.8,StationMAN-F08,0.066107158,saucier
730,StationMAN-F08,0.059328674,saucier
733.4,StationMAN-F08,0.053526839,saucier
736.7,StationMAN-F08,0.050295167,saucier
739.3,StationMAN-F08,0.049909377,saucier
742.4,StationMAN-F08,0.050656818,saucier
745,StationMAN-F08,0.050366679,saucier
