wave,station,at_w,boat
399.1,StationMAN-R06,1.939146771,saucier
403.2,StationMAN-R06,1.853250196,saucier
407.5,StationMAN-R06,1.76807888,saucier
411.7,StationMAN-R06,1.665444765,saucier
415.5,StationMAN-R06,1.565944777,saucier
420.3,StationMAN-R06,1.475564599,saucier
425.3,StationMAN-R06,1.38095266,saucier
429.9,StationMAN-R06,1.29181663,saucier
434.3,StationMAN-R06,1.211440658,saucier
438.9,StationMAN-R06,1.13335747,saucier
443.3,StationMAN-R06,1.060629486,saucier
448.6,StationMAN-R06,0.993968112,saucier
453.4,StationMAN-R06,0.934893484,saucier
458.2,StationMAN-R06,0.877687018,saucier
462.9,StationMAN-R06,0.82561247,saucier
467.6,StationMAN-R06,0.778809315,saucier
472.7,StationMAN-R06,0.734728884,saucier
478,StationMAN-R06,0.693536304,saucier
483.1,StationMAN-R06,0.657954268,saucier
488.1,StationMAN-R06,0.62290571,saucier
492.8,StationMAN-R06,0.589809183,saucier
497.7,StationMAN-R06,0.559004746,saucier
502.6,StationMAN-R06,0.531530701,saucier
507.8,StationMAN-R06,0.50281369,saucier
513.2,StationMAN-R06,0.475525069,saucier
518.5,StationMAN-R06,0.451570405,saucier
523.5,StationMAN-R06,0.42950198,saucier
528.9,StationMAN-R06,0.407615648,saucier
533.7,StationMAN-R06,0.388359238,saucier
538.5,StationMAN-R06,0.370036485,saucier
543.7,StationMAN-R06,0.351941252,saucier
548.5,StationMAN-R06,0.335545783,saucier
553.6,StationMAN-R06,0.320689211,saucier
558.7,StationMAN-R06,0.305700343,saucier
563.9,StationMAN-R06,0.291493226,saucier
569,StationMAN-R06,0.278805762,saucier
573.4,StationMAN-R06,0.266292123,saucier
578.1,StationMAN-R06,0.255734453,saucier
582.7,StationMAN-R06,0.245423654,saucier
587.1,StationMAN-R06,0.235530507,saucier
591.5,StationMAN-R06,0.224831309,saucier
596.1,StationMAN-R06,0.215126971,saucier
600.6,StationMAN-R06,0.206905391,saucier
604.8,StationMAN-R06,0.20039341,saucier
609,StationMAN-R06,0.191121684,saucier
613.7,StationMAN-R06,0.185277743,saucier
618.7,StationMAN-R06,0.178182037,saucier
623.4,StationMAN-R06,0.171507215,saucier
628,StationMAN-R06,0.165337389,saucier
632.7,StationMAN-R06,0.159448884,saucier
637.2,StationMAN-R06,0.153276275,saucier
641.8,StationMAN-R06,0.147131344,saucier
646.6,StationMAN-R06,0.142633215,saucier
651.2,StationMAN-R06,0.139366745,saucier
656,StationMAN-R06,0.137750288,saucier
660.6,StationMAN-R06,0.138843351,saucier
665,StationMAN-R06,0.140658973,saucier
669.6,StationMAN-R06,0.140580557,saucier
674,StationMAN-R06,0.137902005,saucier
678.3,StationMAN-R06,0.132132136,saucier
682.7,StationMAN-R06,0.123527761,saucier
686.6,StationMAN-R06,0.113762046,saucier
690.8,StationMAN-R06,0.104664672,saucier
694.7,StationMAN-R06,0.096402739,saucier
698.4,StationMAN-R06,0.089065076,saucier
702.3,StationMAN-R06,0.08402128,saucier
706,StationMAN-R06,0.07989391,saucier
709.7,StationMAN-R06,0.075465398,saucier
713.2,StationMAN-R06,0.071023799,saucier
716.8,StationMAN-R06,0.069120822,saucier
720.1,StationMAN-R06,0.065195172,saucier
723.7,StationMAN-R06,0.06182375,saucier
726.8,StationMAN-R06,0.059172476,saucier
730,StationMAN-R06,0.051611254,saucier
733.4,StationMAN-R06,0.04750809,saucier
736.7,StationMAN-R06,0.045719343,saucier
739.3,StationMAN-R06,0.045422382,saucier
742.4,StationMAN-R06,0.045987299,saucier
745,StationMAN-R06,0.046746005,saucier
