wave,station,at_w,boat
399.1,StationMAN-R12B,3.436196144,saucier
403.2,StationMAN-R12B,3.315741904,saucier
407.5,StationMAN-R12B,3.15705241,saucier
411.7,StationMAN-R12B,2.989914185,saucier
415.5,StationMAN-R12B,2.843019435,saucier
420.3,StationMAN-R12B,2.680047763,saucier
425.3,StationMAN-R12B,2.530084974,saucier
429.9,StationMAN-R12B,2.387184784,saucier
434.3,StationMAN-R12B,2.248153679,saucier
438.9,StationMAN-R12B,2.113795215,saucier
443.3,StationMAN-R12B,1.992868739,saucier
448.6,StationMAN-R12B,1.879912253,saucier
453.4,StationMAN-R12B,1.775892996,saucier
458.2,StationMAN-R12B,1.683399552,saucier
462.9,StationMAN-R12B,1.597414797,saucier
467.6,StationMAN-R12B,1.515904852,saucier
472.7,StationMAN-R12B,1.443546127,saucier
478,StationMAN-R12B,1.375300372,saucier
483.1,StationMAN-R12B,1.310093022,saucier
488.1,StationMAN-R12B,1.250714961,saucier
492.8,StationMAN-R12B,1.194606234,saucier
497.7,StationMAN-R12B,1.138271048,saucier
502.6,StationMAN-R12B,1.087720633,saucier
507.8,StationMAN-R12B,1.040237761,saucier
513.2,StationMAN-R12B,0.993728369,saucier
518.5,StationMAN-R12B,0.950206478,saucier
523.5,StationMAN-R12B,0.911517897,saucier
528.9,StationMAN-R12B,0.873852651,saucier
533.7,StationMAN-R12B,0.837301394,saucier
538.5,StationMAN-R12B,0.805350623,saucier
543.7,StationMAN-R12B,0.773538967,saucier
548.5,StationMAN-R12B,0.744035244,saucier
553.6,StationMAN-R12B,0.716911147,saucier
558.7,StationMAN-R12B,0.691439574,saucier
563.9,StationMAN-R12B,0.666867825,saucier
569,StationMAN-R12B,0.643863536,saucier
573.4,StationMAN-R12B,0.623295753,saucier
578.1,StationMAN-R12B,0.604618908,saucier
582.7,StationMAN-R12B,0.585994162,saucier
587.1,StationMAN-R12B,0.568690287,saucier
591.5,StationMAN-R12B,0.551036799,saucier
596.1,StationMAN-R12B,0.534409422,saucier
600.6,StationMAN-R12B,0.519302678,saucier
604.8,StationMAN-R12B,0.506766519,saucier
609,StationMAN-R12B,0.492341697,saucier
613.7,StationMAN-R12B,0.479589239,saucier
618.7,StationMAN-R12B,0.465537105,saucier
623.4,StationMAN-R12B,0.45302872,saucier
628,StationMAN-R12B,0.440825972,saucier
632.7,StationMAN-R12B,0.428987392,saucier
637.2,StationMAN-R12B,0.417795089,saucier
641.8,StationMAN-R12B,0.407269919,saucier
646.6,StationMAN-R12B,0.398225344,saucier
651.2,StationMAN-R12B,0.390488225,saucier
656,StationMAN-R12B,0.38486459,saucier
660.6,StationMAN-R12B,0.381811766,saucier
665,StationMAN-R12B,0.379299374,saucier
669.6,StationMAN-R12B,0.376078938,saucier
674,StationMAN-R12B,0.370617624,saucier
678.3,StationMAN-R12B,0.360943942,saucier
682.7,StationMAN-R12B,0.348104725,saucier
686.6,StationMAN-R12B,0.334158405,saucier
690.8,StationMAN-R12B,0.319617318,saucier
694.7,StationMAN-R12B,0.307269531,saucier
698.4,StationMAN-R12B,0.296193234,saucier
702.3,StationMAN-R12B,0.286818327,saucier
706,StationMAN-R12B,0.27818907,saucier
709.7,StationMAN-R12B,0.269361809,saucier
713.2,StationMAN-R12B,0.261199118,saucier
716.8,StationMAN-R12B,0.253707918,saucier
720.1,StationMAN-R12B,0.246394094,saucier
723.7,StationMAN-R12B,0.238074139,saucier
726.8,StationMAN-R12B,0.230147257,saucier
730,StationMAN-R12B,0.219951747,saucier
733.4,StationMAN-R12B,0.212727664,saucier
736.7,StationMAN-R12B,0.206995156,saucier
739.3,StationMAN-R12B,0.205181549,saucier
742.4,StationMAN-R12B,0.203759312,saucier
745,StationMAN-R12B,0.201448571,saucier
