wave,station,at_w,boat
360,StationOUT-F18,3.46369467,kildir
361,StationOUT-F18,3.54695953,kildir
362,StationOUT-F18,3.364411798,kildir
363,StationOUT-F18,3.336675797,kildir
364,StationOUT-F18,3.29398011,kildir
365,StationOUT-F18,3.295767678,kildir
366,StationOUT-F18,3.214695049,kildir
367,StationOUT-F18,3.142727932,kildir
368,StationOUT-F18,3.130657392,kildir
369,StationOUT-F18,3.08464218,kildir
370,StationOUT-F18,3.021630605,kildir
371,StationOUT-F18,2.999079487,kildir
372,StationOUT-F18,2.976625486,kildir
373,StationOUT-F18,2.95665086,kildir
374,StationOUT-F18,2.884218402,kildir
375,StationOUT-F18,2.832713181,kildir
376,StationOUT-F18,2.808477083,kildir
377,StationOUT-F18,2.772199695,kildir
378,StationOUT-F18,2.725385601,kildir
379,StationOUT-F18,2.697201689,kildir
380,StationOUT-F18,2.671095424,kildir
381,StationOUT-F18,2.617119993,kildir
382,StationOUT-F18,2.573134742,kildir
383,StationOUT-F18,2.532758121,kildir
384,StationOUT-F18,2.494239155,kildir
385,StationOUT-F18,2.47067619,kildir
386,StationOUT-F18,2.415394434,kildir
387,StationOUT-F18,2.376311041,kildir
388,StationOUT-F18,2.342588764,kildir
389,StationOUT-F18,2.279559724,kildir
390,StationOUT-F18,2.23537286,kildir
391,StationOUT-F18,2.23690647,kildir
392,StationOUT-F18,2.197295101,kildir
393,StationOUT-F18,2.146460507,kildir
394,StationOUT-F18,2.121453408,kildir
395,StationOUT-F18,2.093415827,kildir
396,StationOUT-F18,2.051285735,kildir
397,StationOUT-F18,2.019115279,kildir
398,StationOUT-F18,1.990907426,kildir
399,StationOUT-F18,1.957008921,kildir
400,StationOUT-F18,1.92083481,kildir
401,StationOUT-F18,1.904646828,kildir
402,StationOUT-F18,1.878954366,kildir
403,StationOUT-F18,1.835523514,kildir
404,StationOUT-F18,1.820281011,kildir
405,StationOUT-F18,1.78764818,kildir
406,StationOUT-F18,1.761547985,kildir
407,StationOUT-F18,1.753200021,kildir
408,StationOUT-F18,1.715259357,kildir
409,StationOUT-F18,1.685232943,kildir
410,StationOUT-F18,1.664736552,kildir
411,StationOUT-F18,1.655825598,kildir
412,StationOUT-F18,1.627325448,kildir
413,StationOUT-F18,1.604844684,kildir
414,StationOUT-F18,1.604896072,kildir
415,StationOUT-F18,1.564774343,kildir
416,StationOUT-F18,1.549023549,kildir
417,StationOUT-F18,1.527407525,kildir
418,StationOUT-F18,1.501595142,kildir
419,StationOUT-F18,1.502441018,kildir
420,StationOUT-F18,1.477301083,kildir
421,StationOUT-F18,1.459492911,kildir
422,StationOUT-F18,1.442293312,kildir
423,StationOUT-F18,1.420825439,kildir
424,StationOUT-F18,1.412877218,kildir
425,StationOUT-F18,1.389525503,kildir
426,StationOUT-F18,1.372987664,kildir
427,StationOUT-F18,1.354517816,kildir
428,StationOUT-F18,1.333887342,kildir
429,StationOUT-F18,1.321437753,kildir
430,StationOUT-F18,1.307711623,kildir
431,StationOUT-F18,1.277264038,kildir
432,StationOUT-F18,1.264147763,kildir
433,StationOUT-F18,1.23632565,kildir
434,StationOUT-F18,1.223641217,kildir
435,StationOUT-F18,1.201429044,kildir
436,StationOUT-F18,1.190428229,kildir
437,StationOUT-F18,1.168453014,kildir
438,StationOUT-F18,1.1428375,kildir
439,StationOUT-F18,1.126574692,kildir
440,StationOUT-F18,1.106987807,kildir
441,StationOUT-F18,1.088238325,kildir
442,StationOUT-F18,1.070693434,kildir
443,StationOUT-F18,1.048233247,kildir
444,StationOUT-F18,1.03982271,kildir
445,StationOUT-F18,1.0252404,kildir
446,StationOUT-F18,1.00376768,kildir
447,StationOUT-F18,0.988912878,kildir
448,StationOUT-F18,0.959382561,kildir
449,StationOUT-F18,0.95721879,kildir
450,StationOUT-F18,0.943806456,kildir
451,StationOUT-F18,0.927216018,kildir
452,StationOUT-F18,0.912368062,kildir
453,StationOUT-F18,0.903330215,kildir
454,StationOUT-F18,0.88894221,kildir
455,StationOUT-F18,0.883914421,kildir
456,StationOUT-F18,0.879868645,kildir
457,StationOUT-F18,0.866125063,kildir
458,StationOUT-F18,0.849708696,kildir
459,StationOUT-F18,0.844752311,kildir
460,StationOUT-F18,0.82303756,kildir
461,StationOUT-F18,0.821162527,kildir
462,StationOUT-F18,0.805341614,kildir
463,StationOUT-F18,0.797366873,kildir
464,StationOUT-F18,0.796086543,kildir
465,StationOUT-F18,0.77652033,kildir
466,StationOUT-F18,0.768480797,kildir
467,StationOUT-F18,0.762051817,kildir
468,StationOUT-F18,0.748676746,kildir
469,StationOUT-F18,0.743452805,kildir
470,StationOUT-F18,0.739521527,kildir
471,StationOUT-F18,0.719355764,kildir
472,StationOUT-F18,0.711496516,kildir
473,StationOUT-F18,0.700872251,kildir
474,StationOUT-F18,0.694286173,kildir
475,StationOUT-F18,0.67631164,kildir
476,StationOUT-F18,0.677593656,kildir
477,StationOUT-F18,0.668218507,kildir
478,StationOUT-F18,0.657834688,kildir
