wave,station,at_w,boat
360,StationOUT-R21,3.523569303,kildir
361,StationOUT-R21,3.097307975,kildir
362,StationOUT-R21,3.387616674,kildir
363,StationOUT-R21,3.451217544,kildir
364,StationOUT-R21,3.192742464,kildir
365,StationOUT-R21,3.203738296,kildir
366,StationOUT-R21,3.105343608,kildir
367,StationOUT-R21,3.012801936,kildir
368,StationOUT-R21,2.947547465,kildir
369,StationOUT-R21,3.010531644,kildir
370,StationOUT-R21,2.892811912,kildir
371,StationOUT-R21,2.983753991,kildir
372,StationOUT-R21,2.891048051,kildir
373,StationOUT-R21,2.882488698,kildir
374,StationOUT-R21,2.801319213,kildir
375,StationOUT-R21,2.665281112,kildir
376,StationOUT-R21,2.646767106,kildir
377,StationOUT-R21,2.59625497,kildir
378,StationOUT-R21,2.599309821,kildir
379,StationOUT-R21,2.516738757,kildir
380,StationOUT-R21,2.517210751,kildir
381,StationOUT-R21,2.494084371,kildir
382,StationOUT-R21,2.415361239,kildir
383,StationOUT-R21,2.457268679,kildir
384,StationOUT-R21,2.370405585,kildir
385,StationOUT-R21,2.381142285,kildir
386,StationOUT-R21,2.361982296,kildir
387,StationOUT-R21,2.224742243,kildir
388,StationOUT-R21,2.269775884,kildir
389,StationOUT-R21,2.242546076,kildir
390,StationOUT-R21,2.227609019,kildir
391,StationOUT-R21,2.172623605,kildir
392,StationOUT-R21,2.100398748,kildir
393,StationOUT-R21,2.093634558,kildir
394,StationOUT-R21,2.02720952,kildir
395,StationOUT-R21,2.032249687,kildir
396,StationOUT-R21,1.991616102,kildir
397,StationOUT-R21,1.941690808,kildir
398,StationOUT-R21,1.943992753,kildir
399,StationOUT-R21,1.913231757,kildir
400,StationOUT-R21,1.892194536,kildir
401,StationOUT-R21,1.87323424,kildir
402,StationOUT-R21,1.805856199,kildir
403,StationOUT-R21,1.820702165,kildir
404,StationOUT-R21,1.745058527,kildir
405,StationOUT-R21,1.744593771,kildir
406,StationOUT-R21,1.72729503,kildir
407,StationOUT-R21,1.716993288,kildir
408,StationOUT-R21,1.679250375,kildir
409,StationOUT-R21,1.654757014,kildir
