,x
1,23
2,31
3,39
4,41
5,64
6,70
7,74
8,75
9,77
10,79
11,83
12,84
13,85
14,86
15,89
16,91
17,93
18,98
19,101
20,102
21,104
22,106
23,108
24,112
25,116
26,117
27,118
28,119
29,120
30,122
31,124
32,130
33,132
34,133
35,134
36,138
37,139
38,147
39,149
40,151
41,152
42,154
43,157
44,158
45,162
46,165
47,166
48,168
49,173
50,174
51,176
52,178
53,181
54,182
55,192
56,194
57,195
58,197
59,198
60,206
61,207
62,208
63,209
64,218
65,221
66,225
67,230
68,235
69,241
70,249
71,252
72,257
73,261
74,265
75,273
76,288
77,289
78,290
79,292
80,293
81,298
82,299
83,301
84,303
85,308
86,309
87,310
88,319
89,320
90,328
91,337
92,340
93,349
94,351
95,360
96,363
97,375
98,380
99,383
100,384
101,387
102,389
103,393
104,396
105,397
106,400
107,407
108,409
109,412
110,418
111,425
112,429
113,430
114,433
115,434
116,435
117,438
118,443
119,444
120,445
121,446
122,451
123,453
124,455
125,459
126,462
127,467
128,470
129,472
130,475
131,481
132,484
133,487
134,491
135,494
136,496
137,498
138,504
139,505
140,513
141,515
142,517
143,520
144,537
145,541
146,542
147,549
148,569
149,576
150,589
151,598
152,607
153,610
154,616
155,617
156,627
157,628
158,629
159,634
160,651
161,661
162,668
163,673
164,681
165,687
166,694
167,854
168,882
169,886
170,946
171,964
172,975
173,981
174,990
175,995
176,996
177,1000
178,1004
179,1006
180,1007
181,1009
182,1013
183,1015
184,1025
185,1029
186,1036
187,1039
188,1044
189,1050
190,1052
191,1057
192,1060
193,1061
194,1063
195,1066
196,1068
197,1069
198,1071
199,1072
200,1073
201,1076
202,1080
203,1084
204,1085
205,1086
206,1087
207,1089
208,1100
209,1104
210,1110
211,1112
212,1191
213,1225
214,1292
215,1310
216,1316
217,1325
218,1329
219,1331
220,1342
221,1343
222,1344
223,1353
224,1354
225,1357
226,1359
227,1363
228,1366
229,1374
230,1378
231,1383
232,1384
233,1407
234,1408
235,1412
236,1417
237,1426
238,1440
239,1444
240,1448
241,1451
242,1453
243,1456
244,1457
