actual,predicted
0.47706422,0.415237335
1.486238532,1.436777024
1.467889908,1.611088951
1.559633028,1.565616274
1.559633028,1.435181492
1.52293578,1.435979258
1.449541284,1.437574791
1.431192661,1.611886717
0.495412844,0.458316713
0.532110092,0.414040686
0.532110092,0.283605903
0.513761468,0.284004787
0.495412844,0.414838452
0.605504587,0.586358197
0.752293578,0.713601915
0.862385321,0.841643398
0.880733945,1.05863582
1.082568807,1.054248105
1.174311927,1.269644994
1.247706422,1.268049462
1.633027523,1.564020742
1.779816514,1.778220981
2,2.034303949
2.128440367,2.16194655
2.256880734,2.159154368
2.47706422,2.545672118
2.513761468,2.501396091
2.550458716,2.326685281
2.550458716,2.239728759
2.47706422,2.284802553
2.642201835,2.455125648
2.71559633,2.714399681
2.825688073,2.842441165
2.844036697,2.972477064
2.972477064,3.013163143
3.082568807,3.054248105
3.19266055,3.22576785
3.302752294,3.353809334
3.357798165,3.352612684
3.431192661,3.437973674
3.486238532,3.480255285
3.486238532,3.567211807
3.541284404,3.609493418
3.577981651,3.47826087
2.513761468,10.19704826
3.614678899,3.607897886
3.706422018,3.649381731
3.816513761,3.820901476
3.908256881,3.949341843
3.981651376,4.034702832
4.073394495,4.032708416
4.256880734,4.202632629
4.330275229,4.287993618
4.403669725,4.286398085
4.47706422,4.415237335
4.532110092,4.58795373
4.513761468,4.631830874
4.513761468,4.544874352
4.550458716,4.457120064
4.642201835,4.54208217
4.71559633,4.583964898
4.733944954,4.670522537
4.899082569,4.75388911
5.064220183,4.837255684
5.137614679,5.053051456
5.19266055,5.095333067
5.266055046,5.224172318
5.412844037,5.307937774
5.449541284,5.437574791
5.486238532,5.610690068
5.52293578,5.609892302
5.614678899,5.607897886
5.559633028,5.739529318
5.559633028,5.435181492
5.688073394,5.693258875
5.798165138,5.734343837
5.871559633,5.863183087
5.981651376,5.991224571
6.055045872,5.989629039
6.073394495,6.119664938
6.183486239,6.1607499
6.256880734,6.24611089
6.366972477,6.330674112
6.422018349,6.372955724
6.495412844,6.371360191
6.513761468,6.501396091
6.513761468,6.631830874
6.513761468,6.718787395
6.513761468,6.762265656
6.532110092,6.805345034
6.605504587,6.542879936
6.605504587,6.586358197
6.678899083,6.758675708
6.733944954,6.757479059
6.788990826,6.79976067
6.917431193,6.927403271
6.990825688,7.01276426
7.174311927,7.095731951
7.247706422,7.268049462
7.431192661,7.437973674
7.541284404,7.435580375
7.486238532,7.69764659
7.504587156,7.827682489
7.504587156,10.04507379
7.633027523,7.607499003
7.798165138,7.821300359
7.908256881,7.992820104
8.055045872,8.07658556
8.183486239,8.1607499
8.23853211,8.289988034
8.348623853,8.331072996
8.47706422,8.415237335
8.513761468,8.45791783
8.513761468,8.892700439
8.495412844,8.545273235
8.532110092,8.58795373
8.587155963,8.58675708
8.568807339,8.848025529
8.550458716,8.891902673
8.532110092,10.0662146
8.623853211,8.672915836
8.752293578,8.670123654
8.844036697,8.75508576
8.95412844,8.883127244
9.027522936,9.055444755
9.229357798,9.181491823
9.321100917,9.396888712
9.449541284,9.437574791
9.504587156,9.566812924
9.504587156,9.697247706
9.52293578,9.914240128
9.577981651,9.52173913
9.669724771,9.650179497
9.779816514,9.73474272
