wavelength,Mud_2019,Sand_2019,Eelgrass_2019,CCA_2022,Rock_2022,Saccha_2022,Agar_2023,CCA_2023,Palma_2023,Rock_2023,Saccha_2023,SacchaBri_2023,Sand_2023
400,0.067689078,0.096740005,0.082684808,0.074504905,0.059712415,0.014508248,0.009662497,0.075660757,0.007235267,0.09226326,0.016298784,0.041837306,0.04528434
410,0.068375434,0.098628925,0.08257655,0.068328605,0.059928563,0.011824473,0.009091717,0.070528048,0.006464509,0.091215479,0.014660902,0.039074421,0.045194853
420,0.0695984,0.10113246,0.081908248,0.063502627,0.060334986,0.0099957,0.008842983,0.066715375,0.006026226,0.093806179,0.013588195,0.037554765,0.046077473
430,0.071165148,0.104348872,0.080458413,0.061355529,0.0619541,0.008826964,0.008685662,0.065319266,0.005888901,0.099081681,0.013163132,0.037022342,0.047625197
440,0.073045724,0.1077725,0.08022681,0.05933666,0.06409349,0.008175155,0.008746649,0.06422479,0.005893364,0.104906198,0.012791636,0.037414122,0.049142816
450,0.075085577,0.110989808,0.080815936,0.067539379,0.068353093,0.008932249,0.009011092,0.072056342,0.006795165,0.112885737,0.01343135,0.038655522,0.052349419
460,0.077044893,0.113856486,0.080740804,0.07727334,0.07237039,0.009520651,0.009283732,0.082068135,0.008195819,0.120636816,0.013972387,0.039509452,0.055605789
470,0.078941263,0.116160935,0.080391394,0.078119828,0.076065434,0.010657083,0.009611931,0.085553303,0.009180395,0.127820804,0.014720979,0.040701354,0.057756514
480,0.080638899,0.118894599,0.080818459,0.078584097,0.080182919,0.012671461,0.010125735,0.087382959,0.010092018,0.135641069,0.016125006,0.042914326,0.059600334
490,0.082611103,0.121568879,0.080886296,0.071293786,0.083434736,0.013409616,0.010435522,0.081805223,0.009085459,0.14252729,0.016867009,0.044114127,0.060432349
500,0.085779136,0.125446604,0.08383199,0.069401755,0.088014724,0.0146355,0.01066891,0.081068572,0.008780278,0.150350514,0.017380144,0.045192505,0.06254714
510,0.089924789,0.129683041,0.093524982,0.0808253,0.094507627,0.017711175,0.011181954,0.094826239,0.011362999,0.160079459,0.018769358,0.047696726,0.066040099
520,0.094204315,0.134332581,0.109533373,0.087724477,0.101675638,0.022024021,0.011877307,0.104954587,0.013786707,0.170254164,0.020650721,0.051220831,0.069388819
530,0.099411329,0.139148147,0.126116069,0.085734406,0.107900568,0.027033957,0.012585266,0.105045484,0.013542902,0.179647341,0.02324779,0.05570251,0.071658582
540,0.105409993,0.144200072,0.13513184,0.082825449,0.112214512,0.033930311,0.013590455,0.10390029,0.012630486,0.1875518,0.02674856,0.061050252,0.072794721
550,0.111508785,0.149008004,0.14079149,0.08235852,0.117436012,0.046569315,0.015237303,0.104955441,0.012509843,0.196098608,0.031756717,0.068844374,0.07331109
560,0.116779969,0.154278208,0.142969804,0.081492395,0.12381868,0.070470679,0.018448087,0.103739228,0.013123524,0.205423156,0.040685031,0.081208667,0.074406879
