ID,Lambda,rho,Target,Background
001,338.3,8.72,Rock,NA
001,339.9,9,Rock,NA
001,341.6,9.3,Rock,NA
001,343.2,8.26,Rock,NA
001,344.9,7.5,Rock,NA
001,346.5,7.45,Rock,NA
001,348.2,8.68,Rock,NA
001,349.9,8.77,Rock,NA
001,351.5,8.39,Rock,NA
001,353.1,7.65,Rock,NA
001,354.8,7.73,Rock,NA
001,356.4,7.5,Rock,NA
001,358.1,6.82,Rock,NA
001,359.7,7.1,Rock,NA
001,361.4,6.86,Rock,NA
001,363,7.24,Rock,NA
001,364.6,6.87,Rock,NA
001,366.3,6.44,Rock,NA
001,367.9,6.27,Rock,NA
001,369.5,6.41,Rock,NA
001,371.2,6.32,Rock,NA
001,372.8,6.43,Rock,NA
001,374.4,6.54,Rock,NA
001,376.1,6.15,Rock,NA
001,377.7,6.04,Rock,NA
001,379.3,6.12,Rock,NA
001,381,6.24,Rock,NA
001,382.6,6.3,Rock,NA
001,384.2,6.4,Rock,NA
001,385.8,6.35,Rock,NA
001,387.5,6.22,Rock,NA
001,389.1,6.32,Rock,NA
001,390.7,6.23,Rock,NA
001,392.3,6.26,Rock,NA
001,393.9,6.28,Rock,NA
001,395.5,6.25,Rock,NA
001,397.2,6.09,Rock,NA
001,398.8,6.02,Rock,NA
001,400.4,5.98,Rock,NA
001,402,6.01,Rock,NA
001,403.6,6.05,Rock,NA
001,405.2,6.04,Rock,NA
001,406.9,6.06,Rock,NA
001,408.5,6.03,Rock,NA
001,410.1,5.98,Rock,NA
001,411.7,5.97,Rock,NA
001,413.3,5.95,Rock,NA
001,414.9,5.98,Rock,NA
001,416.5,5.99,Rock,NA
001,418.1,6.02,Rock,NA
001,419.7,6.03,Rock,NA
001,421.3,6.05,Rock,NA
001,422.9,6.07,Rock,NA
001,424.5,6.1,Rock,NA
001,426.1,6.13,Rock,NA
001,427.7,6.16,Rock,NA
001,429.4,6.18,Rock,NA
001,431,6.2,Rock,NA
001,432.5,6.26,Rock,NA
001,434.1,6.27,Rock,NA
001,435.8,6.31,Rock,NA
001,437.3,6.35,Rock,NA
001,438.9,6.37,Rock,NA
001,440.5,6.42,Rock,NA
001,442.1,6.49,Rock,NA
001,443.7,6.54,Rock,NA
001,445.3,6.61,Rock,NA
001,446.9,6.68,Rock,NA
001,448.5,6.77,Rock,NA
001,450.1,6.84,Rock,NA
001,451.7,6.91,Rock,NA
001,453.3,6.99,Rock,NA
001,454.9,7.05,Rock,NA
001,456.5,7.11,Rock,NA
001,458.1,7.17,Rock,NA
001,459.6,7.22,Rock,NA
001,461.2,7.28,Rock,NA
001,462.8,7.34,Rock,NA
001,464.4,7.4,Rock,NA
001,466,7.45,Rock,NA
001,467.6,7.51,Rock,NA
001,469.2,7.58,Rock,NA
001,470.8,7.64,Rock,NA
001,472.4,7.7,Rock,NA
001,473.9,7.77,Rock,NA
001,475.5,7.83,Rock,NA
001,477.1,7.89,Rock,NA
001,478.7,7.97,Rock,NA
001,480.3,8.02,Rock,NA
001,481.8,8.09,Rock,NA
001,483.4,8.14,Rock,NA
001,485,8.19,Rock,NA
001,486.6,8.22,Rock,NA
001,488.2,8.28,Rock,NA
001,489.7,8.34,Rock,NA
001,491.3,8.39,Rock,NA
001,492.9,8.44,Rock,NA
001,494.5,8.51,Rock,NA
001,496,8.59,Rock,NA
001,497.6,8.67,Rock,NA
001,499.2,8.76,Rock,NA
001,500.8,8.85,Rock,NA
001,502.4,8.93,Rock,NA
001,503.9,9.04,Rock,NA
001,505.5,9.14,Rock,NA
001,507.1,9.24,Rock,NA
001,508.6,9.35,Rock,NA
001,510.2,9.47,Rock,NA
001,511.8,9.58,Rock,NA
