wave,a
360,4.826086827
361,4.153554857
362,4.585625316
363,4.423523635
364,4.427337796
365,4.293948976
366,4.269522737
367,4.250882055
368,4.145071025
369,4.104167562
370,4.079147911
371,3.94289727
372,3.921657577
373,3.90580747
374,3.920368114
375,3.787716551
376,3.748070916
377,3.653064137
378,3.570394864
379,3.595627987
380,3.475859243
381,3.384379415
382,3.427405804
383,3.402200467
384,3.258787077
385,3.262307375
386,3.211401286
387,3.12197653
388,3.092157127
389,3.055894933
390,3.05649903
391,2.975212748
392,2.983554035
393,2.891788046
394,2.832646115
395,2.812644462
396,2.765016034
397,2.754656224
398,2.660029965
399,2.629260204
400,2.583819781
401,2.566741566
402,2.517425714
403,2.528884408
404,2.50431883
405,2.458500743
406,2.38252627
407,2.369053839
408,2.331811779
409,2.304570323
410,2.271041376
411,2.208560208
412,2.180278745
413,2.179695145
414,2.103903924
415,2.107180499
416,2.053686331
417,2.045185308
418,2.012759825
419,1.990792489
420,1.973069286
421,1.941269965
422,1.896607207
423,1.858211868
424,1.848885322
425,1.808835359
426,1.801183496
427,1.775474474
428,1.722442817
429,1.724788902
430,1.70343583
431,1.659396582
432,1.653902374
433,1.622079992
434,1.596452154
435,1.587290878
436,1.562441411
437,1.551765921
438,1.505113144
439,1.502250216
440,1.477624335
441,1.45093999
442,1.419436146
443,1.409112796
444,1.404342833
445,1.384019246
446,1.365546703
447,1.355212691
448,1.335193477
449,1.290403406
450,1.306027499
451,1.277839887
452,1.251805014
453,1.232724663
454,1.222170889
455,1.211037806
456,1.19308684
457,1.184125947
458,1.161047404
459,1.148135711
460,1.132379545
461,1.117305647
462,1.112091978
463,1.088342238
464,1.078613855
465,1.06326443
466,1.062536537
467,1.02762423
468,1.024229398
469,1.015984366
470,1.000678489
471,0.990782305
472,0.968878924
473,0.967035058
474,0.943940485
475,0.93696509
476,0.925982916
477,0.92667216
478,0.907027085
479,0.897335529
480,0.888972983
481,0.880327819
482,0.864003048
483,0.859039123
484,0.861261764
485,0.849016937
486,0.830857543
487,0.829914324
488,0.821982697
489,0.815889246
490,0.795823391
491,0.787172059
492,0.783247775
493,0.776122739
494,0.76977659
495,0.755016444
496,0.757341149
497,0.75019299
498,0.732997949
499,0.723633973
500,0.716049884
501,0.710031197
502,0.707505722
503,0.698914124
504,0.690512666
505,0.681076298
506,0.677325295
507,0.671296254
508,0.662921794
509,0.651141345
510,0.647320711
511,0.644175872
512,0.628915556
513,0.632302157
514,0.623136532
515,0.610060704
516,0.604260891
517,0.614386508
518,0.586702284
519,0.590615648
520,0.577049514
521,0.585874254
522,0.574252298
523,0.568604133
524,0.561805733
525,0.555399265
526,0.553194966
527,0.543827729
528,0.532811065
529,0.533005553
530,0.525401416
531,0.522297207
532,0.524895371
533,0.511708781
534,0.506605348
535,0.501614693
536,0.498199364
537,0.504199159
538,0.488973641
539,0.485373556
540,0.477669571
541,0.474303733
542,0.470195818
543,0.461918885
544,0.463671899
545,0.457938568
546,0.451004594
547,0.45052805
548,0.448257221
549,0.439922869
550,0.435141866
551,0.434821131
552,0.431754948
553,0.421903013
554,0.418123067
555,0.414028567
556,0.414155037
557,0.406507025
558,0.409483197
559,0.403655962
560,0.396678317
561,0.397483656
562,0.389328066
563,0.394699055
564,0.384220311
565,0.380712622
566,0.373529086
567,0.378339106
568,0.369563743
569,0.360208392
570,0.368251317
571,0.35622158
572,0.356486462
573,0.349598898
574,0.353184254
575,0.349803735
576,0.344393045
577,0.338087637
578,0.338668313
579,0.33554825
580,0.331170961
581,0.334567388
582,0.331218545
583,0.325846111
584,0.322263832
585,0.319731802
586,0.310282468
587,0.315146964
588,0.314626018
589,0.305779577
590,0.304334163
591,0.308941002
592,0.308703553
593,0.312170279
594,0.305668642
595,0.296839871
596,0.29767057
597,0.296458331
598,0.289009954
599,0.291915792
600,0.286314667
601,0.279466215
602,0.27888636
603,0.273380796
604,0.273857295
605,0.278886015
606,0.272087639
607,0.2694167
608,0.265272824
609,0.274005169
610,0.269139888
611,0.261094411
612,0.270117249
613,0.26334218
614,0.259557862
615,0.25985896
616,0.257807055
617,0.262597394
618,0.257444983
619,0.252330844
620,0.249361295
621,0.259110292
622,0.248881768
623,0.242627914
624,0.24865448
625,0.24058174
626,0.243942461
627,0.238105552
628,0.235864751
629,0.232730163
630,0.231191566
631,0.234963336
632,0.235219829
633,0.226981512
634,0.226725387
635,0.215864075
636,0.229048297
637,0.238270992
638,0.233690871
639,0.223820559
640,0.223926929
641,0.222479235
642,0.217431954
643,0.22071043
644,0.218141587
645,0.213445835
646,0.212344367
647,0.217694888
648,0.214559029
649,0.207747576
650,0.209275405
651,0.201406584
652,0.200517497
653,0.197033669
654,0.201634638
655,0.20817698
656,0.205305943
657,0.197894756
658,0.20001135
659,0.197062617
660,0.202401563
661,0.2106335
662,0.192395473
663,0.206154618
664,0.21006728
665,0.207154827
666,0.197981133
667,0.208260484
668,0.220925483
669,0.208629798
670,0.213408304
671,0.214562571
672,0.214021477
673,0.212724781
674,0.227053064
675,0.211048533
676,0.212765326
677,0.208670705
678,0.205892928
679,0.196943812
680,0.19036335
681,0.189043113
682,0.197491005
683,0.189672626
684,0.191072145
685,0.174429065
686,0.184880384
687,0.173547541
688,0.176497359
689,0.168854465
690,0.169814396
691,0.165800588
692,0.163881721
693,0.153251401
694,0.157407206
695,0.155986843
696,0.158067961
697,0.154270918
698,0.153595184
699,0.14225731
700,0.142204665
701,0.139138008
702,0.143486376
703,0.135510702
704,0.131382971
705,0.140128289
706,0.137304481
707,0.130039662
708,0.125427041
709,0.143496146
710,0.124895325
711,0.12074245
712,0.137213855
713,0.123183766
714,0.11562265
