X,X1.25,X0.75,X1,X0.5,X0.75,X1.75,X0.75,X1,X1.5,X0.75,X1,X1.5,X1.25,X0.75,X1,X1.25,X1
wavelength,StationMAN-F21,StationMAN-F22,StationMAN-R22,StationMAN-R23,StationMAN-R25,StationMAN-F0,StationMAN-F03.5,StationMAN-F08,StationMAN-F14,StationMAN-R12B,StationMAN-R13,StationMAN-R15,StationOUT-R07,StationOUT-R08,StationOUT-R09,StationMAN-R06,StationMAN-R07
399.1,1.757078658,1.451301938,2.264957888,2.253278965,0.773306911,1.795910673,1.670381367,2.578261523,1.685032535,3.436196144,1.801349455,0.836770789,2.410557247,2.303891427,2.188161444,1.939146771,1.668285381
403.2,1.6902856,1.393562327,2.171350888,2.155716007,0.747460778,1.719526398,1.600443626,2.459166054,1.608915446,3.315741904,1.73095266,0.805168389,2.307404283,2.241553589,2.093916723,1.853250196,1.582539952
407.5,1.607704973,1.318226698,2.055494228,2.052132968,0.719101588,1.641584827,1.52126148,2.325077643,1.524931264,3.15705241,1.650814457,0.767982583,2.185014095,2.132962321,1.978064373,1.76807888,1.511145108
411.7,1.530602004,1.256915467,1.943863869,1.938312019,0.692991665,1.550167939,1.437920831,2.190021171,1.438106148,2.989914185,1.561532359,0.726524136,2.06785426,2.013788272,1.885748023,1.665444765,1.425461415
415.5,1.453398239,1.197796326,1.834765163,1.837979083,0.664626402,1.464717181,1.368542466,2.058782223,1.363734553,2.843019435,1.47421336,0.696837186,1.956972452,1.912853005,1.772017879,1.565944777,1.343929843
420.3,1.372890252,1.128879893,1.725239092,1.735054149,0.634817933,1.377740526,1.28460212,1.931243336,1.283027893,2.680047763,1.394623856,0.656219666,1.834209048,1.804275667,1.666593258,1.475564599,1.260872256
425.3,1.29614694,1.069585279,1.622977273,1.637664413,0.607873031,1.292838394,1.208788739,1.812039203,1.205845564,2.530084974,1.309868687,0.617440007,1.719111722,1.695539285,1.570225016,1.38095266,1.181604161
429.9,1.226026226,1.015976597,1.526839158,1.542703679,0.58192049,1.214532216,1.134296487,1.694125965,1.137363798,2.387184784,1.226947314,0.585336799,1.615464877,1.594849627,1.473079331,1.29181663,1.104458335
434.3,1.153867911,0.961739167,1.430833448,1.452859727,0.556081495,1.138798209,1.068376173,1.585241556,1.071738056,2.248153679,1.15038358,0.551103202,1.51338337,1.503187551,1.378822612,1.211440658,1.035167057
438.9,1.086619037,0.903741835,1.340615673,1.36597954,0.527183843,1.067514988,0.997426094,1.481510402,1.005771918,2.113795215,1.079025043,0.517603077,1.416084894,1.408014306,1.295048362,1.13335747,0.971161701
443.3,1.025179505,0.854889839,1.259284729,1.282437717,0.501999543,1.002804951,0.937331678,1.388009185,0.945475359,1.992868739,1.012225289,0.490739162,1.331033085,1.321942788,1.215859827,1.060629486,0.907502479
448.6,0.962994423,0.804002481,1.179970898,1.205555519,0.474909492,0.93844972,0.878857656,1.299969613,0.889162309,1.879912253,0.95020511,0.460413152,1.249285934,1.245979644,1.144805571,0.993968112,0.847577245
453.4,0.908400224,0.758330854,1.109140442,1.135298081,0.451118838,0.882629134,0.826238593,1.220475192,0.837424826,1.775892996,0.894681707,0.434598227,1.172209613,1.174685254,1.075539793,0.934893484,0.796405157
458.2,0.857139084,0.717652336,1.043602079,1.069971629,0.429621711,0.830653366,0.777736351,1.145270842,0.789917853,1.683399552,0.841203482,0.41053422,1.103131129,1.104860303,1.016087133,0.877687018,0.747054022
462.9,0.809082489,0.679954433,0.98338012,1.009492145,0.409169818,0.783118266,0.732182536,1.07819824,0.747766653,1.597414797,0.792375184,0.389751787,1.040514384,1.046370295,0.957477987,0.82561247,0.702346898
467.6,0.764228754,0.6419509,0.927750413,0.953957637,0.389435822,0.739311861,0.689852002,1.015999735,0.706286944,1.515904852,0.749518585,0.367883175,0.981999336,0.990581172,0.905430235,0.778809315,0.662371839
472.7,0.722997061,0.606652307,0.875474942,0.900780404,0.370723187,0.698538231,0.65084172,0.958114763,0.667682216,1.443546127,0.708641998,0.348165463,0.92769927,0.936271088,0.855394817,0.734728884,0.623843462
478,0.682886703,0.574609461,0.826223787,0.850971691,0.352658944,0.659455622,0.615264993,0.904257525,0.631344402,1.375300372,0.669299092,0.329536964,0.878242189,0.886683974,0.810064952,0.693536304,0.587850953
483.1,0.649903163,0.545695585,0.782421701,0.806907502,0.338667853,0.624464026,0.581979256,0.856214156,0.599027488,1.310093022,0.635358476,0.314158459,0.832081378,0.843817221,0.76729304,0.657954268,0.556831006
488.1,0.618643466,0.519947569,0.742070105,0.766494197,0.325188332,0.593113041,0.552461135,0.81083298,0.568991181,1.250714961,0.602966514,0.299536469,0.789504081,0.801917059,0.728412573,0.62290571,0.52773335
492.8,0.587961807,0.495343242,0.704214105,0.727410541,0.312208251,0.562497482,0.523675011,0.767920567,0.541403047,1.194606234,0.571421006,0.286665995,0.74972932,0.762773489,0.69005476,0.589809183,0.500289664
497.7,0.557597827,0.469975517,0.667348094,0.68887522,0.296639176,0.533154046,0.496332041,0.726853531,0.51394486,1.138271048,0.542820886,0.272865724,0.710776822,0.726754636,0.653848056,0.559004746,0.473839886
502.6,0.530245511,0.4457078,0.633549953,0.65368961,0.281475057,0.507182842,0.472054685,0.689770035,0.489379715,1.087720633,0.516237064,0.261027019,0.676114427,0.692856577,0.620688043,0.531530701,0.450402055
507.8,0.502400956,0.421420525,0.601172189,0.618073727,0.26555276,0.481215157,0.447520814,0.653667372,0.464068108,1.040237761,0.489509963,0.248206395,0.643034526,0.658157805,0.588999801,0.50281369,0.426365334
513.2,0.475574963,0.399068286,0.568720859,0.584640624,0.249777812,0.455015524,0.424342234,0.618622516,0.439087497,0.993728369,0.464432302,0.236148411,0.609927141,0.626175531,0.558644441,0.475525069,0.402871047
518.5,0.451942767,0.377891955,0.539457357,0.55439612,0.23698649,0.431426604,0.402527928,0.585819009,0.416800921,0.950206478,0.441515672,0.224734118,0.579477273,0.596118688,0.529086554,0.451570405,0.381508793
523.5,0.430663139,0.359819906,0.513544324,0.526858381,0.225865458,0.411235495,0.383406822,0.556752643,0.396686126,0.911517897,0.420578923,0.214804966,0.552572204,0.568337881,0.504630956,0.42950198,0.362505711
528.9,0.409348421,0.341667764,0.488088732,0.500356948,0.215737737,0.390552323,0.364394999,0.527980399,0.377290056,0.873852651,0.400095271,0.204479399,0.525711333,0.542146671,0.479280588,0.407615648,0.343870928
533.7,0.388784714,0.324344706,0.46368383,0.475395251,0.206042494,0.371314822,0.346275367,0.501255372,0.358994529,0.837301394,0.381411948,0.19450244,0.500628081,0.517834521,0.455545991,0.388359238,0.326568249
538.5,0.370775907,0.309136775,0.441759525,0.452779363,0.198004861,0.354232861,0.330057315,0.477566052,0.342209521,0.805350623,0.364265273,0.1857012,0.478120696,0.494550983,0.434934971,0.370036485,0.310929237
543.7,0.351989284,0.29322071,0.419690875,0.429767814,0.188733107,0.336611697,0.313883898,0.453736748,0.325255475,0.773538967,0.347030004,0.176599571,0.455536224,0.471710122,0.413865575,0.351941252,0.295375436
548.5,0.334211106,0.277743185,0.398422963,0.408203684,0.180374238,0.319611758,0.298469673,0.431327565,0.309375933,0.744035244,0.331101465,0.167770348,0.434557793,0.451082987,0.394452208,0.335545783,0.280331742
553.6,0.318335555,0.264095746,0.379449083,0.388959906,0.172917085,0.304209045,0.28408181,0.410826168,0.294518858,0.716911147,0.316822442,0.159659184,0.415031271,0.431203019,0.376529799,0.320689211,0.267053185
558.7,0.303292554,0.251272187,0.361060072,0.369978712,0.165466361,0.289393197,0.270583916,0.391391737,0.280636954,0.691439574,0.302371223,0.151769281,0.397101414,0.412197105,0.359227349,0.305700343,0.253883666
563.9,0.288886476,0.239153358,0.343940768,0.35265903,0.158362549,0.275242733,0.257469755,0.372923972,0.267396769,0.666867825,0.289227619,0.144035352,0.379978119,0.395231663,0.343078287,0.291493226,0.24139757
569,0.276677276,0.228561225,0.328044128,0.337213525,0.152388168,0.262777359,0.246004341,0.355711614,0.255526508,0.643863536,0.277391372,0.137168844,0.364060034,0.379626195,0.328349119,0.278805762,0.230307237
