,X,X1.25,X0.75,X1,X0.5,X0.75,X1.75,X0.75,X1,X1.5,X0.75,X1,X1.5,X1.25,X0.75,X1,X1.25,X1
1,wavelength,MAN-F21,MAN-F22,MAN-R22,MAN-R23,MAN-R25,MAN-F0,MAN-F03.5,MAN-F08,MAN-F14,MAN-R12B,MAN-R13,MAN-R15,OUT-R07,OUT-R08,OUT-R09,MAN-R06,MAN-R07
2,399.1,1.49265767,1.465182387,2.173868227,1.618899764,0.782991273,1.262472814,0.905555558,2.525397318,1.336832777,3.406913566,1.92023509,0.787861243,2.410557247,2.35996641,1.9106096,1.908919596,1.665490282
3,403.2,1.432295949,1.398418904,2.079008904,1.54918672,0.751280421,1.213878602,0.877199906,2.419035778,1.275058956,3.283443273,1.840221165,0.757494645,2.307404283,2.280183452,1.781554476,1.816324625,1.580048415
4,407.5,1.36514026,1.330673234,1.969110907,1.461968111,0.732374241,1.161781488,0.827236558,2.286067838,1.207968544,3.13081357,1.748980683,0.721600401,2.185014095,2.164362984,1.693469319,1.725007026,1.509549766
5,411.7,1.30075809,1.265610326,1.865629109,1.384688957,0.699151988,1.105085945,0.788471546,2.152337122,1.142041246,2.960848779,1.647160297,0.683049924,2.06785426,2.03816067,1.604031143,1.630795359,1.423723533
6,415.5,1.245348164,1.207658881,1.760813626,1.31812171,0.671812475,1.05211938,0.752810638,2.028457783,1.080428334,2.809161054,1.562647886,0.654256054,1.956972452,1.936767225,1.517168123,1.540128733,1.342662365
7,420.3,1.173977941,1.138998518,1.654291691,1.238638304,0.642859283,0.994008851,0.715973518,1.903221174,1.015940788,2.652981072,1.467460736,0.615517365,1.834209048,1.829991737,1.430195195,1.440970108,1.259540106
8,425.3,1.111162681,1.083122414,1.558145147,1.16635014,0.615577185,0.937716511,0.673009648,1.78401706,0.953905506,2.49857438,1.376679607,0.578400609,1.719111722,1.715529355,1.339950596,1.354204391,1.180462433
9,429.9,1.054035712,1.027461601,1.465253865,1.10028953,0.587870184,0.887003108,0.638279942,1.670416842,0.896474889,2.353482033,1.297315482,0.547417063,1.615464877,1.618027273,1.266458498,1.270829604,1.103268514
10,434.3,0.993798317,0.971481213,1.372337476,1.034708999,0.561537308,0.837903386,0.605368983,1.563593961,0.842466433,2.21177535,1.21380282,0.515140813,1.51338337,1.521620611,1.189521025,1.187743573,1.034007824
11,438.9,0.93741939,0.914334416,1.287475225,0.969410793,0.533983755,0.786183296,0.568282578,1.460617595,0.788898991,2.080555125,1.135967743,0.484639138,1.416084894,1.425784426,1.123053089,1.108867007,0.969977101
12,443.3,0.885186096,0.866430063,1.208284338,0.911152465,0.50594235,0.742019761,0.537236252,1.369731392,0.742582091,1.956247903,1.067790218,0.458731559,1.331033085,1.340630718,1.05441805,1.042852729,0.90624604
13,448.6,0.832184362,0.813875754,1.132166312,0.85412969,0.477020294,0.697234361,0.503872927,1.28343311,0.694946825,1.843032036,1.00425385,0.430398004,1.249285934,1.262728837,0.988937734,0.973345053,0.846142193
14,453.4,0.783891779,0.766871023,1.062979163,0.801397443,0.453024485,0.657337192,0.474534803,1.204060052,0.65310757,1.742271583,0.942716863,0.405681209,1.172209613,1.188861988,0.931135134,0.913598918,0.794953733
15,458.2,0.740745143,0.725576921,1.000650914,0.753562799,0.430496904,0.620195467,0.44910836,1.129882608,0.615195052,1.647332062,0.889306676,0.383172413,1.103131129,1.118471687,0.875453214,0.859759106,0.745560808
16,462.9,0.699447307,0.68683302,0.942098189,0.711202164,0.408307272,0.58808957,0.425462673,1.064555892,0.579798299,1.559278023,0.838789238,0.362871819,1.040514384,1.059274092,0.828040722,0.807841867,0.700748493
17,467.6,0.660451752,0.647116916,0.888240713,0.668759813,0.387970274,0.555776561,0.401125991,1.003435149,0.546548526,1.479019628,0.792125997,0.341995363,0.981999336,1.001614605,0.783639511,0.761308317,0.660801732
18,472.7,0.624212251,0.611637114,0.837631073,0.629595818,0.367626449,0.526237721,0.379956797,0.945258658,0.515202083,1.406624185,0.749386849,0.322933449,0.92769927,0.946375947,0.736912946,0.719052377,0.622152284
19,478,0.58991766,0.578639989,0.789808269,0.59422434,0.348174683,0.497417642,0.359754394,0.89261982,0.485899392,1.338095916,0.709318452,0.30505978,0.878242189,0.898495206,0.696432911,0.679528553,0.586167705
20,483.1,0.56090978,0.549730452,0.747556631,0.562060249,0.333302622,0.472778924,0.341582325,0.845138206,0.460911782,1.274895744,0.673426301,0.290022297,0.832081378,0.853329058,0.658683722,0.642035429,0.555051265
21,488.1,0.533895862,0.523474453,0.708599657,0.532351133,0.319749776,0.449613895,0.325019226,0.799913447,0.437064971,1.214764348,0.638643636,0.276394633,0.789504081,0.810646935,0.626930116,0.609195398,0.526038891
22,492.8,0.507643425,0.498247977,0.672115442,0.505039873,0.305269026,0.428281043,0.310204279,0.757568392,0.415348581,1.158889068,0.607423311,0.264167495,0.74972932,0.772484879,0.596475282,0.57782499,0.498420579
23,497.7,0.480730125,0.471114586,0.636620636,0.477739948,0.289076077,0.40694704,0.295233947,0.717531329,0.392998771,1.104287471,0.57650609,0.251250766,0.710776822,0.734953971,0.563325293,0.547345245,0.472061174
24,502.6,0.455882406,0.446286444,0.603917099,0.452418096,0.274123479,0.386944871,0.28032881,0.680330588,0.373865799,1.055082407,0.548203438,0.23999067,0.676114427,0.700052163,0.537474448,0.519830093,0.448581607
25,507.8,0.431822897,0.421675355,0.57278436,0.427771554,0.257299685,0.366940792,0.26531068,0.644549658,0.353776649,1.007559087,0.521165966,0.227783632,0.643034526,0.665946811,0.505910838,0.492811707,0.424412792
26,513.2,0.407875566,0.39715046,0.541375059,0.403555864,0.241848982,0.347286717,0.25137609,0.610104105,0.334316181,0.961652604,0.494294866,0.216417415,0.609927141,0.632998249,0.479514263,0.46654426,0.400903517
27,518.5,0.386563289,0.375831504,0.513036851,0.382185425,0.228874589,0.329590175,0.238758336,0.5774407,0.317015179,0.919995855,0.469758328,0.205758075,0.579477273,0.601752441,0.455356287,0.442092458,0.379524421
28,523.5,0.367418723,0.357239064,0.488211771,0.362900037,0.217680594,0.314536457,0.227254363,0.548735276,0.30172878,0.881472961,0.44835986,0.196202582,0.552572204,0.573677805,0.432864333,0.421168421,0.360489299
29,528.9,0.348584603,0.338507395,0.463267371,0.344182793,0.206229453,0.299358336,0.216493959,0.520255528,0.286003634,0.843762206,0.426988818,0.186228711,0.525711333,0.547751815,0.412151692,0.39988746,0.341715491
30,533.7,0.330333243,0.320967189,0.439553773,0.32575566,0.196712788,0.285285841,0.205863309,0.493874091,0.271257712,0.808452152,0.406600115,0.176639614,0.500628081,0.522197103,0.399178889,0.379644724,0.324460116
31,538.5,0.31448667,0.305225905,0.41814243,0.309252596,0.187988929,0.272809382,0.196304615,0.470111504,0.258262598,0.776593288,0.389104935,0.168424115,0.478120696,0.498543397,0.381243384,0.362380198,0.308815198
32,543.7,0.297373198,0.288680813,0.396528295,0.292125626,0.178239182,0.259568785,0.186068234,0.446594493,0.244352518,0.74458082,0.371258452,0.159286493,0.455536224,0.475854557,0.36238967,0.344660943,0.2931449
33,548.5,0.281224444,0.272357759,0.375532679,0.276170352,0.169504463,0.24680655,0.176249414,0.424677995,0.231554303,0.715948481,0.354551348,0.151033536,0.434557793,0.454375403,0.343984954,0.327564087,0.278125957
34,553.6,0.266773449,0.258200596,0.35687805,0.261467531,0.161466586,0.234869312,0.167391717,0.404185045,0.219780119,0.68889799,0.339402868,0.143178316,0.415031271,0.433733686,0.327761948,0.312667123,0.264791037
35,558.7,0.252989625,0.244506214,0.338863444,0.247522306,0.153437351,0.223354643,0.158916751,0.384836909,0.208596885,0.663887126,0.325058012,0.135468192,0.397101414,0.414703473,0.312199286,0.29827895,0.251541486
36,563.9,0.239831139,0.231720678,0.322089173,0.234365809,0.145671739,0.212743674,0.150754504,0.366764602,0.197841519,0.639488015,0.311043288,0.128023899,0.379978119,0.397372587,0.297516711,0.28437801,0.239053478
37,569,0.229023827,0.220867593,0.306540265,0.222750413,0.139483544,0.20310416,0.143563554,0.349615874,0.188230546,0.617052657,0.298111543,0.121527396,0.364060034,0.380760093,0.284164257,0.271283414,0.227917103
38,573.4,0.219720035,0.211846997,0.292901276,0.212364541,0.134194155,0.194602165,0.137631917,0.333898533,0.179574754,0.596501167,0.286606471,0.115861083,0.349866872,0.366189482,0.272900332,0.259982364,0.217752348
39,578.1,0.212059876,0.204629351,0.281099017,0.204085089,0.130234098,0.187515356,0.133205253,0.320546892,0.172523324,0.577669401,0.276420626,0.111690918,0.337370834,0.3541504,0.262408242,0.249712167,0.209024145
40,582.7,0.204727141,0.197081311,0.269327376,0.19567944,0.126355045,0.180624807,0.128286948,0.307212254,0.165284181,0.559289361,0.266453523,0.107180918,0.324803237,0.341540184,0.252675583,0.239471507,0.201082634
41,587.1,0.197883213,0.190634027,0.25853511,0.187610188,0.122333778,0.17429888,0.1238256,0.294504012,0.158693313,0.541722147,0.25728394,0.103247953,0.313160182,0.329815828,0.243594623,0.230305742,0.193556455
42,591.5,0.189626496,0.182752046,0.24684822,0.178694701,0.116921066,0.166827202,0.118463836,0.281213537,0.150628877,0.52396809,0.247456586,0.097893006,0.3013701,0.317834066,0.23340368,0.219897031,0.184994414
43,596.1,0.182509485,0.175750023,0.236038139,0.170898949,0.113071633,0.160657847,0.113584725,0.269202372,0.143789451,0.507418685,0.238619846,0.093712237,0.29001357,0.306698832,0.225219012,0.210288001,0.177771546
44,600.6,0.176508251,0.170088592,0.226927518,0.16405658,0.109945743,0.155444352,0.109856076,0.258203322,0.137965092,0.492559856,0.230881745,0.090336803,0.279767507,0.296445206,0.21727848,0.202271886,0.17106158
45,604.8,0.172923155,0.166682997,0.22020811,0.159837657,0.108882042,0.152304215,0.108522245,0.24943595,0.134586225,0.479947081,0.224747019,0.088923527,0.271527609,0.288743916,0.212422219,0.195927034,0.166020864
