"","X","X1.75","X0.75","X0.75","X0.5","X0.75","X1.75","X0.75","X1","X1.5","X0.75","X1","X1.5","X1.25","X0.75","X1","X1.25","X1"
"1","wavelength","MAN-F21","MAN-F22","MAN-R22","MAN-R23","MAN-R25","MAN-F0","MAN-F03","MAN-F08","MAN-F14","MAN-R12","MAN-R13","MAN-R15","OUT-R07","OUT-R08","OUT-R09","MAN-R06","MAN-R07"
"2","412","0.0146859095255393","0.0145003259175968","0.0149611180870726","0.0154759405073559","0.017050093990605","0.0155119735659757","0.0146789679465531","0.0117623676078216","0.0140398086908175","0.0650163466125407","0.0248420199070764","0.0178638848299664","0.0241782987448839","0.0195090179772733","0.029716987516049","0.0163295091023497","0.0134813167398225"
"3","440","0.0112532222709466","0.0122735709975653","0.0118157125658488","0.0123666238847693","0.0137766982352485","0.0127482038009082","0.0125174466449031","0.00983822009393614","0.0110967669101914","0.0500538851850251","0.0176214385508057","0.0139138952950114","0.0200186254434293","0.0167109514126818","0.0209514856778619","0.0127987823607087","0.011201894280567"
"4","488","0.0123716180329188","0.0136552505082165","0.0128270558020767","0.013035959772153","0.0150567131917531","0.0133516655389814","0.0122810035104432","0.0104884638260048","0.012475937334622","0.0504854400447991","0.0190731653995025","0.0159363242968923","0.0196171109927208","0.0180699083351573","0.0206612067240561","0.0137535746885423","0.0123860717685243"
"5","510","0.0121427530804296","0.0140075106418923","0.0119037668321845","0.0131297786936743","0.015936760164398","0.0140242823218561","0.0130736242882331","0.0110082586706794","0.0121567573044964","0.0551004047941385","0.0210636882822074","0.0161737536285057","0.0209413980681421","0.0200465931940355","0.0216262253939033","0.0131838885351134","0.0113316391714772"
"6","532","0.0106358964339795","0.0123467415980315","0.0105277839993992","0.0116895253651792","0.013937830043471","0.01236838926694","0.0113559662300807","0.00953283584767505","0.0107382231442746","0.048540493870521","0.0184776766760903","0.0141346869372676","0.0187532855574865","0.0165190274171117","0.0199426091382521","0.0107870698307388","0.0100920081084566"
"7","595","0.0113956683841448","0.0137869093208831","0.0110618750693168","0.0126154445242253","0.0150422699714934","0.0135592594969199","0.012094875623871","0.0101013546784862","0.0125290279887044","0.0521015311052194","0.0218490153739543","0.0170204309515708","0.0187859415071343","0.0176488960512352","0.0211422274465565","0.0122327058065714","0.0102825251963541"
"8","650","0.0089143649192542","0.0103752806390315","0.00866905224450188","0.00962916935273901","0.0114726990528162","0.00961413214002079","0.00910094579778863","0.00785732069240037","0.00880411666561007","0.0402971214275194","0.0149481724731611","0.0125241127069499","0.0147262729018238","0.0132015659078232","0.0154673672389812","0.00884415370773775","0.00801640131417249"
"9","676","0.00958007883332396","0.0111578467584797","0.00988883469024503","0.0100215448660153","0.0118582967767582","0.00989646623159695","0.00940032021293922","0.00813270940386228","0.00928212424789674","0.0401409449502148","0.0146563215709045","0.0126937717812828","0.0151710285944723","0.0140492429557671","0.0157436617886409","0.00943800298386548","0.00810228260654004"
"10","715","0.0090980781220601","0.0101748105808295","0.00922122610970872","0.00976019619215392","0.0113644204189592","0.00995877534388279","0.00909983892422723","0.00795288583873591","0.00930010992714271","0.0409993346743164","0.0149810841384826","0.012875756950303","0.0146184834892003","0.0132383453561136","0.0147146565812687","0.0091501720053387","0.00797394498229935"
