"","X","X1.75","X0.75","X0.75","X0.5","X0.75","X1.75","X0.75","X1","X1.5","X0.75","X1","X1.5","X1.25","X0.75","X1","X1.25","X1"
"1","wavelength","MAN-F21","MAN-F22","MAN-R22","MAN-R23","MAN-R25","MAN-F0","MAN-F03","MAN-F08","MAN-F14","MAN-R12","MAN-R13","MAN-R15","OUT-R07","OUT-R08","OUT-R09","MAN-R06","MAN-R07"
"2","412","0.0152304236710351","0.0138623279678802","0.012759724875772","0.0165841778414444","0.0163449645006206","0.0146553180859439","0.0145587619297604","0.0115606474746021","0.0153573656004156","0.0657095813303397","0.0318312107044714","0.0126220367098106","0.0241782987448839","0.023616724800069","0.0327005048709832","0.0148829620331514","0.0141393915816223"
"3","440","0.0115813677499221","0.0112738019453765","0.0109642110870112","0.0125056823049325","0.0132477789308168","0.0124830779034622","0.0124585199177756","0.00954143217289859","0.0116271698511637","0.0499860426823779","0.023815580159024","0.0100971144682726","0.0200186254434293","0.0203764593237508","0.0269684967453653","0.0112297471585412","0.0116270646699109"
"4","488","0.0128557146696463","0.0125202332325151","0.0114821727019748","0.0132143011473046","0.0143628248726949","0.01275727207162","0.0122694720893363","0.0101193392623967","0.0122900760165567","0.0509181309016933","0.0249307962982401","0.0108745237253761","0.0196171109927208","0.0224023032833494","0.0319194600752372","0.0124423065766752","0.0127464122931558"
"5","510","0.0124145276949525","0.0126472936181552","0.0120975334518688","0.0144128659002915","0.0153800095108792","0.0135945975182259","0.0130473533120417","0.0108304158099801","0.0124297442452334","0.0553917462705421","0.0269634086118186","0.012830022073363","0.0209413980681421","0.021600024912115","0.03329154763859","0.0110554614234323","0.0114019962748527"
"6","532","0.0107447139794178","0.0113333001395342","0.0108875838670911","0.0127555924271597","0.0136005549241508","0.0121533096614621","0.0113220535647553","0.00939718257267683","0.0109052195772558","0.0489828052366815","0.0257984215728858","0.0102438030456062","0.0187532855574865","0.0194709661150873","0.0319353105332519","0.00980408281382823","0.0102523888827211"
"7","595","0.011700691678263","0.012353226745959","0.0118038462586565","0.013685871052499","0.0143671586475656","0.012775980572781","0.0120525694302398","0.00975120071750869","0.011805286904049","0.0529548445045246","0.0269139337570081","0.0140818187701265","0.0187859415071343","0.0197432496679998","0.0304471941878082","0.0105995512715146","0.0102619215124937"
"8","650","0.00900257870762359","0.00946645821273269","0.00873195992227968","0.0108102136667301","0.0110378692813501","0.00947049017024305","0.00910819914023347","0.0078007904967161","0.00921485459067756","0.0393943052967063","0.0170934157649614","0.00937856480886998","0.0147262729018238","0.015983470655775","0.0193247521016996","0.00826436606807052","0.00798272871203671"
"9","676","0.00949108278856281","0.0101939569367607","0.00907017478474348","0.0115626236387393","0.0113610293155108","0.0100800474792253","0.00938082397575158","0.00818184798026592","0.00966054465616466","0.0395220255929031","0.0177392239046817","0.00903572585028626","0.0151710285944723","0.01570741525548","0.0193387259868086","0.00846473294887176","0.00802583470800452"
"10","715","0.00913439073999399","0.00929646836689977","0.00914917845766344","0.010593298865998","0.0110531555239237","0.00952859368477598","0.00912250933471572","0.00789488362618152","0.00959670887467017","0.0415282134025655","0.0175936804880927","0.00920513161590441","0.0146184834892003","0.015349672049228","0.0171034573214411","0.00841576394024138","0.00791246923246855"
