wave,BDA.01,MAN.F01,MAN.F05,MAN.F11,MAN.F18,MAN.F21,MAN.F22,OUT.F01,OUT.F03,OUT.F18,OUT.F21,MAN.R21,MAN.R22,MAN.R23,MAN.R24,MAN.R25,OUT.R11,OUT.R12,OUT.R13,OUT.R14,OUT.R15,MAN.F0,MAN.F0.1,MAN.F03.5,MAN.F08,MAN.F12,MAN.F14,MAN.F15,MAN.F16,OUT.F52,OUT.F53,OUT.F54,OUT.F55,MAN.R11.5,MAN.R12A,MAN.R12B,MAN.R13,MAN.R14,MAN.R15,OUT.R01,OUT.R02,OUT.R03,OUT.R04,OUT.R05,MAN.R01,MAN.R02,MAN.R03,MAN.R04,MAN.R05,OUT.R06,OUT.R07,OUT.R08,OUT.R09,OUT.R10,MAN.R06,MAN.R09,MAN.R10,OUT.R21,OUT.R22,OUT.R23,OUT.R24,OUT.R25
400,0.000292324,8.76E-05,0.000160799,0.000158366,0.000199945,0.000151077,0.000557017,0.000140092,0.00012944,0.000427866,0.000130377,0.000130834,0.000205054,0.000239035,0.000421687,0.001015114,0.000226965,0.000244989,0.000454889,0.000601951,0.000574674,0.000225047,0.000167857,0.000311075,5.24E-05,8.99E-05,0.000238635,7.48E-05,0.000418421,5.45E-06,4.39E-05,0.00016267,0.00018032,5.95E-05,0.00076508,1.76E-05,0.000378802,0.000619653,0.000915038,0.000726839,0.000508931,0.000310884,0.000261075,0.000292642,0.000552287,0.000220976,5.60E-05,0,4.70E-05,0.000101622,0.000175403,0.000323956,0.000370302,0.000582931,0.000337633,0.000184642,0.000190834,0.000285487,0.000347868,0.001176368,0.000330067,0.000663223
401,0.000295053,8.91E-05,0.000164727,0.000160491,0.00019577,0.000151389,0.000560095,0.000142382,0.000132551,0.000429495,0.000132384,0.00013752,0.000205578,0.000240533,0.00042579,0.0010199,0.000231165,0.000247451,0.000459476,0.000606304,0.000579399,0.000227214,0.000168471,0.000311606,5.40E-05,9.17E-05,0.000237409,7.64E-05,0.000421048,7.14E-06,4.65E-05,0.000165603,0.000178827,6.05E-05,0.000771007,1.78E-05,0.000379917,0.000627122,0.000922618,0.000741169,0.000515265,0.000315308,0.000263496,0.000293299,0.000553983,0.000225099,5.71E-05,0,5.26E-05,0.000102687,0.000177471,0.00032717,0.000373761,0.00058524,0.000341978,0.00018802,0.000195272,0.000292403,0.000355798,0.001189702,0.000349869,0.000669472
402,0.000297782,9.06E-05,0.000168656,0.000162616,0.000191595,0.000151701,0.000563173,0.000144672,0.000135662,0.000431123,0.00013439,0.000144207,0.000206101,0.00024203,0.000429892,0.001024687,0.000235365,0.000249914,0.000464063,0.000610657,0.000584123,0.000229381,0.000169085,0.000312138,5.56E-05,9.35E-05,0.000236182,7.81E-05,0.000423675,8.83E-06,4.92E-05,0.000168537,0.000177334,6.14E-05,0.000776933,1.80E-05,0.000381032,0.000634591,0.000930197,0.000755499,0.000521598,0.000319732,0.000265917,0.000293956,0.00055568,0.000229223,5.82E-05,0,5.82E-05,0.000103751,0.000179539,0.000330384,0.00037722,0.000587548,0.000346323,0.000191398,0.000199709,0.000299319,0.000363729,0.001203035,0.000369671,0.000675722
403,0.000300511,9.20E-05,0.000172585,0.000164741,0.00018742,0.000152013,0.00056625,0.000146962,0.000138773,0.000432752,0.000136397,0.000150894,0.000206625,0.000243528,0.000433995,0.001029473,0.000239564,0.000252377,0.00046865,0.000615011,0.000588848,0.000231548,0.000169699,0.00031267,5.72E-05,9.53E-05,0.000234956,7.98E-05,0.000426302,1.05E-05,5.18E-05,0.00017147,0.000175841,6.23E-05,0.00078286,1.82E-05,0.000382148,0.00064206,0.000937777,0.000769829,0.000527932,0.000324156,0.000268338,0.000294613,0.000557376,0.000233346,5.92E-05,0,6.38E-05,0.000104816,0.000181607,0.000333598,0.000380679,0.000589857,0.000350668,0.000194777,0.000204147,0.000306234,0.00037166,0.001216368,0.000389473,0.000681972
404,0.00030324,9.35E-05,0.000176513,0.000166867,0.000183245,0.000152325,0.000569328,0.000149252,0.000141884,0.000434381,0.000138403,0.00015758,0.000207148,0.000245026,0.000438097,0.00103426,0.000243764,0.000254839,0.000473236,0.000619364,0.000593573,0.000233715,0.000170313,0.000313201,5.88E-05,9.71E-05,0.000233729,8.14E-05,0.000428928,1.22E-05,5.45E-05,0.000174404,0.000174348,6.33E-05,0.000788786,1.84E-05,0.000383263,0.000649528,0.000945357,0.000784158,0.000534266,0.00032858,0.000270759,0.00029527,0.000559072,0.000237469,6.03E-05,0,6.94E-05,0.00010588,0.000183675,0.000336813,0.000384139,0.000592165,0.000355013,0.000198155,0.000208584,0.00031315,0.000379591,0.001229701,0.000409275,0.000688222
405,0.000305969,9.50E-05,0.000180442,0.000168992,0.00017907,0.000152637,0.000572405,0.000151543,0.000144996,0.000436009,0.000140409,0.000164267,0.000207672,0.000246524,0.0004422,0.001039046,0.000247963,0.000257302,0.000477823,0.000623717,0.000598297,0.000235882,0.000170926,0.000313733,6.04E-05,9.89E-05,0.000232503,8.31E-05,0.000431555,1.39E-05,5.71E-05,0.000177337,0.000172855,6.42E-05,0.000794713,1.86E-05,0.000384379,0.000656997,0.000952937,0.000798488,0.000540599,0.000333003,0.00027318,0.000295927,0.000560768,0.000241592,6.14E-05,0,7.50E-05,0.000106945,0.000185743,0.000340027,0.000387598,0.000594474,0.000359358,0.000201533,0.000213022,0.000320066,0.000387521,0.001243034,0.000429077,0.000694472
406,0.000308698,9.65E-05,0.000184371,0.000171117,0.000174895,0.000152949,0.000575483,0.000153833,0.000148107,0.000437638,0.000142416,0.000170954,0.000208195,0.000248021,0.000446302,0.001043833,0.000252163,0.000259764,0.00048241,0.00062807,0.000603022,0.000238049,0.00017154,0.000314265,6.20E-05,0.000100739,0.000231276,8.48E-05,0.000434182,1.56E-05,5.97E-05,0.00018027,0.000171362,6.51E-05,0.000800639,1.88E-05,0.000385494,0.000664466,0.000960516,0.000812818,0.000546933,0.000337427,0.000275601,0.000296584,0.000562465,0.000245716,6.25E-05,0,8.05E-05,0.000108009,0.000187811,0.000343241,0.000391057,0.000596782,0.000363703,0.000204911,0.000217459,0.000326982,0.000395452,0.001256368,0.000448879,0.000700721
407,0.000311427,9.80E-05,0.000188299,0.000173242,0.00017072,0.000153261,0.000578561,0.000156123,0.000151218,0.000439267,0.000144422,0.00017764,0.000208719,0.000249519,0.000450405,0.001048619,0.000256363,0.000262227,0.000486996,0.000632423,0.000607747,0.000240216,0.000172154,0.000314796,6.36E-05,0.000102543,0.00023005,8.64E-05,0.000436809,1.73E-05,6.24E-05,0.000183204,0.000169869,6.61E-05,0.000806566,1.90E-05,0.000386609,0.000671935,0.000968096,0.000827147,0.000553266,0.000341851,0.000278023,0.000297241,0.000564161,0.000249839,6.36E-05,0,8.61E-05,0.000109074,0.000189879,0.000346455,0.000394516,0.000599091,0.000368048,0.000208289,0.000221897,0.000333897,0.000403383,0.001269701,0.000468681,0.000706971
408,0.000314156,9.95E-05,0.000192228,0.000175367,0.000166545,0.000153573,0.000581638,0.000158413,0.000154329,0.000440895,0.000146428,0.000184327,0.000209243,0.000251017,0.000454507,0.001053405,0.000260562,0.00026469,0.000491583,0.000636776,0.000612471,0.000242384,0.000172768,0.000315328,6.51E-05,0.000104347,0.000228823,8.81E-05,0.000439436,1.90E-05,6.50E-05,0.000186137,0.000168376,6.70E-05,0.000812492,1.91E-05,0.000387725,0.000679404,0.000975676,0.000841477,0.0005596,0.000346275,0.000280444,0.000297898,0.000565857,0.000253962,6.47E-05,0,9.17E-05,0.000110138,0.000191948,0.000349669,0.000397975,0.000601399,0.000372392,0.000211667,0.000226334,0.000340813,0.000411313,0.001283034,0.000488483,0.000713221
409,0.000316885,0.000101003,0.000196157,0.000177492,0.00016237,0.000153885,0.000584716,0.000160703,0.00015744,0.000442524,0.000148435,0.000191014,0.000209766,0.000252515,0.00045861,0.001058192,0.000264762,0.000267152,0.00049617,0.00064113,0.000617196,0.000244551,0.000173382,0.00031586,6.67E-05,0.00010615,0.000227597,8.98E-05,0.000442063,2.06E-05,6.77E-05,0.000189071,0.000166883,6.79E-05,0.000818419,1.93E-05,0.00038884,0.000686873,0.000983256,0.000855807,0.000565933,0.000350699,0.000282865,0.000298555,0.000567553,0.000258085,6.57E-05,0,9.73E-05,0.000111203,0.000194016,0.000352883,0.000401434,0.000603708,0.000376737,0.000215046,0.000230772,0.000347729,0.000419244,0.001296367,0.000508285,0.000719471
