wave,station,at_w,boat
360,StationMAN-R01,1.666605229,kildir
361,StationMAN-R01,1.577375376,kildir
362,StationMAN-R01,1.651923706,kildir
363,StationMAN-R01,1.582930974,kildir
364,StationMAN-R01,1.582159558,kildir
365,StationMAN-R01,1.578046206,kildir
366,StationMAN-R01,1.54587487,kildir
367,StationMAN-R01,1.51100225,kildir
368,StationMAN-R01,1.491892856,kildir
369,StationMAN-R01,1.46873511,kildir
370,StationMAN-R01,1.438225096,kildir
371,StationMAN-R01,1.438552927,kildir
372,StationMAN-R01,1.401104667,kildir
373,StationMAN-R01,1.38505781,kildir
374,StationMAN-R01,1.382827949,kildir
375,StationMAN-R01,1.353543331,kildir
376,StationMAN-R01,1.319896956,kildir
377,StationMAN-R01,1.297018128,kildir
378,StationMAN-R01,1.278790152,kildir
379,StationMAN-R01,1.269312836,kildir
380,StationMAN-R01,1.241005056,kildir
381,StationMAN-R01,1.218575453,kildir
382,StationMAN-R01,1.20571294,kildir
383,StationMAN-R01,1.185781258,kildir
384,StationMAN-R01,1.178099098,kildir
385,StationMAN-R01,1.155208526,kildir
386,StationMAN-R01,1.143451787,kildir
387,StationMAN-R01,1.124014796,kildir
388,StationMAN-R01,1.114708288,kildir
389,StationMAN-R01,1.08560393,kildir
390,StationMAN-R01,1.081926009,kildir
391,StationMAN-R01,1.062184017,kildir
392,StationMAN-R01,1.047410674,kildir
393,StationMAN-R01,1.020265107,kildir
394,StationMAN-R01,1.009167261,kildir
395,StationMAN-R01,1.008276565,kildir
396,StationMAN-R01,0.988652132,kildir
397,StationMAN-R01,0.973572829,kildir
398,StationMAN-R01,0.968521831,kildir
399,StationMAN-R01,0.960075853,kildir
400,StationMAN-R01,0.93457719,kildir
401,StationMAN-R01,0.924129784,kildir
402,StationMAN-R01,0.90727123,kildir
403,StationMAN-R01,0.907421742,kildir
404,StationMAN-R01,0.884872643,kildir
405,StationMAN-R01,0.872955113,kildir
406,StationMAN-R01,0.870002258,kildir
407,StationMAN-R01,0.848960805,kildir
408,StationMAN-R01,0.839625092,kildir
409,StationMAN-R01,0.833582224,kildir
410,StationMAN-R01,0.810449425,kildir
411,StationMAN-R01,0.796165995,kildir
412,StationMAN-R01,0.794561529,kildir
413,StationMAN-R01,0.790517111,kildir
414,StationMAN-R01,0.771507613,kildir
415,StationMAN-R01,0.758158213,kildir
416,StationMAN-R01,0.751299131,kildir
417,StationMAN-R01,0.739717618,kildir
418,StationMAN-R01,0.733551217,kildir
419,StationMAN-R01,0.723690344,kildir
420,StationMAN-R01,0.708920383,kildir
421,StationMAN-R01,0.701952074,kildir
422,StationMAN-R01,0.694888497,kildir
423,StationMAN-R01,0.688087428,kildir
424,StationMAN-R01,0.668223504,kildir
425,StationMAN-R01,0.661147899,kildir
426,StationMAN-R01,0.654216386,kildir
427,StationMAN-R01,0.646220652,kildir
428,StationMAN-R01,0.639340611,kildir
429,StationMAN-R01,0.636550371,kildir
430,StationMAN-R01,0.619700946,kildir
431,StationMAN-R01,0.607571011,kildir
432,StationMAN-R01,0.600329834,kildir
433,StationMAN-R01,0.599462577,kildir
434,StationMAN-R01,0.588211308,kildir
435,StationMAN-R01,0.585449732,kildir
436,StationMAN-R01,0.572123704,kildir
437,StationMAN-R01,0.563741056,kildir
438,StationMAN-R01,0.563106275,kildir
439,StationMAN-R01,0.555933642,kildir
440,StationMAN-R01,0.545331051,kildir
441,StationMAN-R01,0.536110578,kildir
442,StationMAN-R01,0.53693737,kildir
443,StationMAN-R01,0.528011217,kildir
444,StationMAN-R01,0.52104222,kildir
445,StationMAN-R01,0.514806079,kildir
446,StationMAN-R01,0.505627299,kildir
447,StationMAN-R01,0.497455947,kildir
448,StationMAN-R01,0.489145038,kildir
449,StationMAN-R01,0.478066526,kildir
450,StationMAN-R01,0.476332921,kildir
451,StationMAN-R01,0.465264895,kildir
452,StationMAN-R01,0.462098048,kildir
453,StationMAN-R01,0.452502042,kildir
454,StationMAN-R01,0.451292849,kildir
455,StationMAN-R01,0.443448962,kildir
456,StationMAN-R01,0.434044711,kildir
457,StationMAN-R01,0.431950261,kildir
458,StationMAN-R01,0.428826985,kildir
459,StationMAN-R01,0.416619364,kildir
460,StationMAN-R01,0.412341499,kildir
461,StationMAN-R01,0.409356688,kildir
462,StationMAN-R01,0.405674697,kildir
463,StationMAN-R01,0.39587568,kildir
464,StationMAN-R01,0.392160901,kildir
465,StationMAN-R01,0.391357144,kildir
466,StationMAN-R01,0.38296669,kildir
467,StationMAN-R01,0.380017465,kildir
468,StationMAN-R01,0.374933518,kildir
469,StationMAN-R01,0.368640758,kildir
470,StationMAN-R01,0.360186379,kildir
471,StationMAN-R01,0.358703911,kildir
472,StationMAN-R01,0.350888048,kildir
473,StationMAN-R01,0.346733742,kildir
474,StationMAN-R01,0.343605612,kildir
475,StationMAN-R01,0.341918624,kildir
476,StationMAN-R01,0.336391369,kildir
477,StationMAN-R01,0.330923919,kildir
478,StationMAN-R01,0.330029625,kildir
479,StationMAN-R01,0.321019674,kildir
480,StationMAN-R01,0.318651214,kildir
481,StationMAN-R01,0.314955531,kildir
