wave,station,at_w,boat
360,StationOUT-F01,3.62204527,kildir
361,StationOUT-F01,3.748106308,kildir
362,StationOUT-F01,3.474986891,kildir
363,StationOUT-F01,3.510271041,kildir
364,StationOUT-F01,3.491375231,kildir
365,StationOUT-F01,3.431030694,kildir
366,StationOUT-F01,3.373960781,kildir
367,StationOUT-F01,3.326801764,kildir
368,StationOUT-F01,3.304727354,kildir
369,StationOUT-F01,3.241933567,kildir
370,StationOUT-F01,3.203808781,kildir
371,StationOUT-F01,3.156185105,kildir
372,StationOUT-F01,3.144850628,kildir
373,StationOUT-F01,3.077790486,kildir
374,StationOUT-F01,3.051760877,kildir
375,StationOUT-F01,3.017527226,kildir
376,StationOUT-F01,2.936144284,kildir
377,StationOUT-F01,2.888820878,kildir
378,StationOUT-F01,2.897951417,kildir
379,StationOUT-F01,2.842356216,kildir
380,StationOUT-F01,2.78100846,kildir
381,StationOUT-F01,2.746714158,kildir
382,StationOUT-F01,2.745988615,kildir
383,StationOUT-F01,2.631458207,kildir
384,StationOUT-F01,2.629326625,kildir
385,StationOUT-F01,2.579712171,kildir
386,StationOUT-F01,2.522347811,kildir
387,StationOUT-F01,2.512867626,kildir
388,StationOUT-F01,2.434987677,kildir
389,StationOUT-F01,2.391393661,kildir
390,StationOUT-F01,2.358291597,kildir
391,StationOUT-F01,2.316566126,kildir
392,StationOUT-F01,2.302177412,kildir
393,StationOUT-F01,2.237019712,kildir
394,StationOUT-F01,2.216787707,kildir
395,StationOUT-F01,2.175009356,kildir
396,StationOUT-F01,2.156800956,kildir
397,StationOUT-F01,2.122276206,kildir
398,StationOUT-F01,2.082318598,kildir
399,StationOUT-F01,2.054762854,kildir
400,StationOUT-F01,2.006736091,kildir
401,StationOUT-F01,1.97326764,kildir
402,StationOUT-F01,1.951576871,kildir
403,StationOUT-F01,1.913893428,kildir
404,StationOUT-F01,1.906897266,kildir
405,StationOUT-F01,1.868507369,kildir
406,StationOUT-F01,1.827591,kildir
407,StationOUT-F01,1.793260683,kildir
408,StationOUT-F01,1.772097469,kildir
