bad_rrs_idx,cruise
1073,gloria
5514,gloria
6162,nomad2
6163,nomad2
6164,nomad2
6207,nomad2
6208,nomad2
6209,nomad2
6210,nomad2
6211,nomad2
6212,nomad2
6224,nomad2
6225,nomad2
6226,nomad2
6227,nomad2
6228,nomad2
6229,nomad2
6230,nomad2
6231,nomad2
6232,nomad2
6233,nomad2
6234,nomad2
6235,nomad2
6551,nomad2
6552,nomad2
6553,nomad2
6555,nomad2
6556,nomad2
6557,nomad2
6558,nomad2
6559,nomad2
6560,nomad2
6561,nomad2
6562,nomad2
6563,nomad2
6564,nomad2
6565,nomad2
6566,nomad2
6567,nomad2
6568,nomad2
6569,nomad2
6570,nomad2
6571,nomad2
6572,nomad2
6573,nomad2
6574,nomad2
6575,nomad2
6576,nomad2
6577,nomad2
6578,nomad2
6160,nomad2_2
6161,nomad2_2
6162,nomad2_2
6163,nomad2_2
6164,nomad2_2
6168,nomad2_2
6169,nomad2_2
6170,nomad2_2
6171,nomad2_2
6172,nomad2_2
6173,nomad2_2
6174,nomad2_2
6175,nomad2_2
6176,nomad2_2
6177,nomad2_2
6178,nomad2_2
6187,nomad2_2
6188,nomad2_2
6189,nomad2_2
6190,nomad2_2
6191,nomad2_2
6192,nomad2_2
6193,nomad2_2
6194,nomad2_2
6195,nomad2_2
6196,nomad2_2
6197,nomad2_2
6198,nomad2_2
6199,nomad2_2
6200,nomad2_2
