"station_id","sample_id","project","station","boat","date","time","datetime","lat","lon","station_waterbody","water_depth","SZ","FU","sampling_type","depth","sal","Chl","PHAEO","SPM","PIM","DOC","TOC","DN","TN","NO2","NO3","PO4","SiO4","pico_PE_CYAN","nano_PE_CYAN","picoeukaryote","nanoeukaryotes","pico_PC_CYAN","nano_PC_CYAN","LNA","HNA","Chl_c3","Chlide_a","Mg_DVP","Chl_c2","Chl_c1","Me.chlide_a","Perid","Chl_a_deg","Phide_a","Chl_a_deg.1","But.fuco","Fuco","Neo","Pras","Viola","Hex.fuco","Diadino","Anth","Allo","Diato","Zea","Lut","Croco","Chl_b","Chl_a_deg.2","Chl_a_allom","MV_Chl_a","Tot_Chl_a","Phytin_a","beta.epi.Car","beta.beta.Car"
"wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman-1","wiseman","BDA-01","saucier","2019-08-17","22:25:00","2019-08-17T22:25:00Z",49.25,-68.11715,"ocean",68,2,NA,"surface",0,25.328,3.501845887,0.467854684,10.07277778,8.183333333,2.086,2.133333333,0.1282,0.132133333,0.209,1.102,0.315923099,9.445479277,10100,189,15239,4722,1406,183,670861,2120333,0,0.059917301,0.02841962,0.304306604,0.005554342,NA,0,NA,0.108686478,NA,0,1.113417588,0,0.030533687,0.022470966,0.033901487,0.144017459,NA,0.227925362,0.033590102,0.024965764,0.013446818,0.020502916,0.122660362,NA,NA,3.31254631,3.372463611,0.047068816,0,0.077285128
"wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman-2","wiseman","BDA-01","kildir","2019-08-17","23:59:00","2019-08-17T23:59:00Z",49.24872,-68.11626,"ocean",67,3.75,NA,"surface",0,23.5797,3.166798961,0.573777953,6.160833333,4.486666667,2.422666667,2.480333333,0.119366667,0.1355,0.181,1.077,0.290120882,12.38561233,9578,267,16328,5006,2811,322,772167,2515444,0.015272166,0.045984173,0,0.301464829,0.006195211,NA,0.084022099,NA,0.101149374,NA,0,1.046115694,0,0.028854669,0.023757118,0.037948779,0.14066163,NA,0.157241573,0.026657335,0.02855883,0.022086932,0.015924655,0.12593241,NA,NA,2.766665562,2.812649735,0.063427696,0,0.085767201
"wiseman-BSL-F01-2019-08-18T20:41:00Z","wiseman-3","wiseman","BSL-F01","zodiac","2019-08-18","20:41:00","2019-08-18T20:41:00Z",49.089,-68.303,"ocean",NA,NA,NA,"surface",0,19.9891,9.657828571,6.434112,30.36333333,24.79083333,3.220666667,3.263333333,0.128633333,0.1469,0.139,0.767,0.260173264,24.26348526,8817,828,8878,5233,44,0,562889,2581750,0.009396791,0.382629415,0.227293753,0.674973884,0.102550612,NA,1.002381697,NA,0.097131088,NA,0.03300917,0.297431351,0.651043661,0.06194162,0.196364927,0,2.041811133,NA,1.360433644,0.20829104,0.02906755,0.094138428,0.106988839,5.747650256,NA,NA,12.93432841,13.31695783,0.189722303,0.025491697,0.230700907
"wiseman-BSL-F02-2019-08-18T22:12:00Z","wiseman-4","wiseman","BSL-F02","zodiac","2019-08-18","22:12:00","2019-08-18T22:12:00Z",49.085,-68.321,"ocean",NA,NA,NA,"surface",0,16.2203,7.144976623,5.145997853,24.53083333,19.87666667,3.581333333,3.398,0.1354,0.1329,0.133,2.193,0.207219516,31.79583797,9022,906,11217,5133,272,139,535233,1683500,0.012786445,0.329699623,0.164501337,0.48096038,0.074926443,NA,0.532898446,NA,0.091205733,NA,0.019384734,0.515891784,0.484230516,0.109455857,0.140984613,0,1.457610126,NA,0.757272513,0.183301262,0.025420965,0.056002854,0.066310235,4.598858413,NA,NA,9.732657431,10.06235705,0.163216149,0.025941131,0.268243747
"wiseman-MAN-F01-2019-08-18T16:00:00Z","wiseman-5","wiseman","MAN-F01","saucier","2019-08-18","16:00:00","2019-08-18T16:00:00Z",49.203,-68.0824,"ocean",60,3.54,NA,"surface",0,21.1332,3.120376797,1.078447432,9.219333333,7.512333333,2.538666667,2.535666667,0.137133333,0.147966667,0.176,2.336,0.352110854,22.87066072,14813,291,15382,3385,320,79,629250,1707167,0.01783029,0.049526569,0.022841221,0.232208954,0.002176105,NA,0.028588716,NA,0.130531699,NA,0.025985991,0.398793004,0.021530354,0.040527368,0.028852591,0.038084146,0.064186217,NA,0.502982575,0.022261686,0.018647034,0.018153753,0.035761996,0.181363307,NA,NA,2.413804545,2.463331114,0.065583676,0.029111359,0.057051247
"wiseman-MAN-F05-2019-08-18T18:16:00Z","wiseman-6","wiseman","MAN-F05","saucier","2019-08-18","18:16:00","2019-08-18T18:16:00Z",49.13445,-68.108833,"ocean",60,4.6,NA,"surface",0,18.9081,2.709641558,0.607323013,6.842,5.55,2.940333333,2.957666667,0.1396,0.147066667,0.109,2.797,0.242534898,27.1183621,18783,228,22989,3856,161,94,523583,1260556,0.012892333,0.063895436,0.035655174,0.21997726,0.04191133,NA,0.051264954,NA,0.078163034,NA,0.011057929,0.651968686,0.025179753,0.037842973,0.026970828,0.022541317,0.144228221,NA,0.196676159,0.021130052,0.01424705,0.014294764,0.017260211,0.240652644,NA,NA,2.112773051,2.176668487,0.043047447,0.006509127,0.058896334
"wiseman-MAN-F11-2019-08-18T19:51:00Z","wiseman-7","wiseman","MAN-F11","saucier","2019-08-18","19:51:00","2019-08-18T19:51:00Z",49.06885,-68.18949,"ocean",11,4,NA,"surface",0,18.8304,2.698540606,0.450577565,10.43101449,8.574492754,2.913666667,2.916333333,0.1321,0.1428,0.124,2.943,0.272924747,27.18664542,17244,322,23383,4111,156,78,526167,1569111,0,0.026153585,0.04498307,0.221652637,0.002972971,NA,0.06317288,NA,0.052100782,NA,0,0.376739065,0.026036136,0.043083844,0.064192739,0,0.11656934,NA,0.435952599,0.015684193,0.021359099,0.018040845,0.033604361,0.20937134,NA,NA,2.549936866,2.576090451,0.045442803,0.02471309,0.053050582
"wiseman-MAN-F18-2019-08-18T20:32:00Z","wiseman-8","wiseman","MAN-F18","saucier","2019-08-18","20:32:00","2019-08-18T20:32:00Z",49.07007,-68.28295,"ocean",4.4,3,NA,"surface",0,18.6766,3.677442771,0.759385877,7.517333333,5.798,3.296333333,3.057333333,0.1236,0.2198,0.126,2.518,0.283827466,27.74661511,16250,278,25256,4561,72,28,567944,1909556,0.014049248,0.059925751,0.06050915,0.370042133,0.051881353,NA,0.426252923,NA,0.068025665,NA,0.013807214,0.642864299,0.044930476,0.054869009,0.064025547,0,0.306464089,NA,0.456084018,0.028223422,0.020507084,0.019268948,0.038395309,0.389806818,NA,NA,3.84790176,3.907827511,0.06803543,0.023423548,0.086446728
"wiseman-MAN-F22-2019-08-18T22:00:00Z","wiseman-9","wiseman","MAN-F22","saucier","2019-08-18","22:00:00","2019-08-18T22:00:00Z",49.03323,-68.33463,"ocean",57.7,3.75,NA,"surface",0,25.4022,5.146805195,0.590166996,7.3055,5.4965,1.760333333,2.014,0.092746667,0.120866667,0.04,0.097,0.099528898,7.222396626,5000,83,30072,8378,172,11,484100,1389967,0.033864302,0.197623715,0.058797093,0.67074639,0.110478617,NA,0.648041112,NA,0.136235827,NA,0.010022669,2.154516499,0.033056981,0.054653364,0.038999118,0.02988624,0.740123524,NA,0.141989177,0.05216332,0.013525281,0.011201632,0.011929532,0.250410839,NA,NA,5.01174517,5.209368885,0.073065283,0,0.107899469
"wiseman-MAN-F21-2019-08-18T22:50:00Z","wiseman-10","wiseman","MAN-F21","saucier","2019-08-18","22:50:00","2019-08-18T22:50:00Z",49.04124,-68.28975,"ocean",57,3.75,NA,"surface",0,22.5649,4.089187186,0.820097995,6.2055,4.6245,2.101666667,2.248666667,0.091523333,0.1061,0.039,0.059,0.089165239,12.31246379,8322,200,28883,8244,194,22,549300,1480733,0.035527507,0.188829625,0.05693741,0.507279274,0.101630333,NA,0.536450013,NA,0.133738785,NA,0,1.551791062,0.02462768,0.058534025,0.071333577,0,0.529181619,NA,0.174872231,0.041224896,0.015357555,0.015410498,0.015805241,0.309649342,NA,NA,3.99647759,4.185307215,0.062024085,0.001070299,0.086543948
