L8_WL,RSRF
21786.49238,0.000255
21834.06114,0.000984
21881.83807,0.002414
21929.82456,0.005829
21978.02198,0.014537
22026.43172,0.036603
22075.05519,0.09286
22123.8938,0.226412
22172.949,0.471329
22222.22222,0.745606
22271.71492,0.905808
22321.42857,0.972692
22371.36465,0.98278
22421.52466,0.996969
22471.91011,1
22522.52252,0.993137
22573.36343,0.993683
22624.43439,0.986713
22675.73696,0.989052
22727.27273,0.98379
22779.04328,0.977393
22831.05023,0.958204
22883.29519,0.908749
22935.77982,0.765117
22988.50575,0.517821
23041.47465,0.254149
23094.68822,0.085688
23148.14815,0.024767
23201.85615,0.008019
23255.81395,0.003421
23310.02331,0.001628
23364.48598,0.000609
23419.20375,0.000073
18939.39394,0
18975.33207,0.000032
19011.40684,0.000023
19047.61905,0.000057
19083.96947,0.000072
19120.45889,0.000162
19157.08812,0.000321
19193.85797,0.000516
19230.76923,0.000785
19267.82274,0.0011
19305.01931,0.001557
19342.35977,0.002611
19379.84496,0.005328
19417.47573,0.013894
19455.25292,0.048329
19493.17739,0.190738
19531.25,0.534592
19569.47162,0.844893
19607.84314,0.9556
19646.36542,1
19685.03937,0.996498
19723.86588,0.972261
19762.84585,0.963135
19801.9802,0.965685
19841.26984,0.98232
19880.71571,0.981834
19920.31873,0.966772
19960.07984,0.966125
20000,0.964132
20040.08016,0.954754
20080.32129,0.967361
20120.72435,0.980826
20161.29032,0.988729
20202.0202,0.976836
20242.91498,0.967332
20283.97566,0.968801
20325.20325,0.982262
20366.59878,0.989469
20408.16327,0.985615
20449.89775,0.989104
20491.80328,0.978564
20533.8809,0.953352
20576.13169,0.956424
20618.5567,0.96242
20661.15703,0.955545
20703.93375,0.954248
20746.88797,0.931813
20790.02079,0.931726
20833.33333,0.918822
20876.82672,0.910385
20920.50209,0.912538
20964.36059,0.890253
21008.40336,0.868497
21052.63158,0.865864
21097.04641,0.844202
21141.64905,0.828339
21186.44068,0.840828
21231.42251,0.848533
21276.59575,0.861157
21321.96162,0.88768
21367.52137,0.891913
21413.27623,0.886569
21459.22747,0.879688
21505.37634,0.874721
21551.72414,0.881011
21598.27214,0.877453
21645.02165,0.883542
21691.97397,0.889667
21739.13044,0.897977
21786.49238,0.899475
21834.06114,0.90988
21881.83807,0.910928
21929.82456,0.903034
21978.02198,0.894222
22026.43172,0.85751
22075.05519,0.723971
22123.8938,0.493542
22172.949,0.27137
22222.22222,0.130876
22271.71492,0.058606
22321.42857,0.02717
22371.36465,0.013212
22421.52466,0.006869
22471.91011,0.003712
22522.52252,0.00207
22573.36343,0.001197
22624.43439,0.000756
22675.73696,0.000455
22727.27273,0.000349
22779.04328,0.000241
22831.05023,0.000117
22883.29519,0.000061
16393.44262,0
16420.36125,0
16447.36842,0
16474.46458,0
16501.65016,0
16528.92562,0
16556.29139,0
16583.74793,0
16611.29568,0
16638.93511,0
16666.66667,0.000085
16694.49082,0.000394
16722.40803,0.001046
16750.41876,0.002574
16778.52349,0.005944
16806.72269,0.014077
16835.01684,0.035393
16863.40641,0.087833
16891.89189,0.190467
16920.47377,0.345364
16949.15254,0.525304
16977.92869,0.684974
17006.80272,0.809275
17035.77513,0.904478
17064.84642,0.946407
17094.01709,0.974207
17123.28767,0.986657
17152.65866,0.983655
17182.13058,0.968886
17211.70396,0.963811
17241.37931,0.979598
17271.15717,0.982956
17301.03806,0.967838
17331.02253,0.969181
17361.11111,0.968827
17391.30435,0.979973
17421.60279,0.974392
17452.00698,0.975818
17482.51748,0.978208
17513.13485,0.979406
17543.85965,0.967229
17574.69244,0.974522
17605.6338,0.98096
17636.6843,0.983397
17667.84452,0.978607
17699.11504,0.970039
17730.49645,0.958314
17761.98934,0.953399
17793.59431,0.966447
17825.31194,0.977656
17857.14286,0.966534
17889.08766,0.959038
17921.14695,0.947871
17953.32136,0.946245
17985.61151,0.957314
18018.01802,0.965081
18050.54152,0.977765
18083.18264,0.983832
18115.94203,0.982642
18148.82033,0.992264
18181.81818,1
18214.93625,0.990784
18248.17518,0.980884
18281.53565,0.977001
18315.01832,0.977533
18348.62385,0.97827
18382.35294,0.961397
