wave,a
360,3.46370227
361,3.546968068
362,3.364421219
363,3.336685662
364,3.293989503
365,3.295775427
366,3.214700699
367,3.142732082
368,3.130662085
369,3.084649905
370,3.021639896
371,2.99908581
372,2.976629184
373,2.956656927
374,2.884227626
375,2.832721819
376,2.808484418
377,2.772208402
378,2.725395685
379,2.697210246
380,2.671101763
381,2.61712598
382,2.573141047
383,2.532763896
384,2.494244494
385,2.470682269
386,2.415401594
387,2.376318562
388,2.342595884
389,2.279565933
390,2.235378089
391,2.236911039
392,2.197299365
393,2.146464844
394,2.12145856
395,2.093422504
396,2.051292702
397,2.019119897
398,1.990909721
399,1.95701153
400,1.920838682
401,1.904650809
402,1.878957817
403,1.835526723
404,1.820284219
405,1.787651418
406,1.76155142
407,1.753203934
408,1.715263721
409,1.685237414
410,1.664740849
411,1.655829573
412,1.627329001
413,1.604847766
414,1.604898775
415,1.564776894
416,1.549026174
417,1.527410392
418,1.501598285
419,1.50244435
420,1.477304518
421,1.459496388
422,1.442296773
423,1.420828837
424,1.412880593
425,1.38952896
426,1.372991236
427,1.354521452
428,1.333890996
429,1.321441388
430,1.307715155
431,1.277267348
432,1.264150791
433,1.236328422
434,1.223643841
435,1.20143166
436,1.190430823
437,1.168455438
438,1.142839753
439,1.126576929
440,1.106990054
441,1.08824047
442,1.07069544
443,1.048235175
444,1.039824574
445,1.025242154
446,1.003769313
447,0.988914412
448,0.959383945
449,0.957219914
450,0.943807315
451,0.927216725
452,0.912368738
453,0.903330959
454,0.888943102
455,0.883915507
456,0.879869875
457,0.86612631
458,0.84970989
459,0.844753455
460,0.823038678
461,0.821163642
462,0.805342737
463,0.797368008
464,0.796087717
465,0.776521588
466,0.768482166
467,0.762053292
468,0.748678287
469,0.743454347
470,0.739523037
471,0.719357247
472,0.711497981
473,0.700873697
474,0.694287587
475,0.676312991
476,0.677594904
477,0.668219623
478,0.657835705
479,0.652960659
480,0.639409296
481,0.633390006
482,0.629197689
483,0.621565672
484,0.615704386
485,0.607220586
486,0.604550389
487,0.596658837
488,0.592582583
489,0.58679664
490,0.575400618
491,0.572357766
492,0.566048739
493,0.563766694
494,0.555508623
495,0.54914937
496,0.544142394
497,0.538269543
498,0.530924479
499,0.522450982
500,0.515807919
501,0.511344399
