correct_statname,sensor,chl,adg443,H_cops,H_sampling,H
MAN.F18,COPS,3.677442771,1.840571931,4.070299,4.4,4.2351495
OUT.F01,COPS,5.298181818,2.287802937,3.304715,3,3.1523575
OUT.F03,COPS,6.337634632,2.354298419,3.532141333,3,3.266070667
OUT.F21,COPS,5.187172294,1.472310846,5.38774325,5.8,5.593871625
MAN.R21,COPS,7.099563636,2.13542163,3.1849695,2.6,2.89248475
OUT.R11,COPS,6.034881385,1.380769066,3.2201055,3,3.11005275
MAN.F03.5,COPS,3.003312208,0.763440808,8.102688667,6.7,7.401344334
MAN.F08,COPS,2.076887273,1.426426197,6.1062145,4.5,5.30310725
MAN.F14,COPS,4.581665801,1.204094757,6.276115,6,6.1380575
MAN.F16,COPS,4.137627706,1.356986131,2.954786,2.6,2.777393
MAN.R11.5,COPS,0.420827013,2.636793652,2.353273,2.2,2.2766365
MAN.R12B,COPS,1.688353939,2.413687213,4.086916,5.2,4.643458
OUT.R01,COPS,2.341796364,0.513789848,5.790229,4.9,5.3451145
MAN.R01,COPS,3.455423723,1.099443853,2.656184,2,2.328092
MAN.R06,COPS,3.021477403,1.109606,2.961436,3,2.980718
OUT.R21,COPS,1.872024242,1.132472007,2.618079,2.4,2.5090395
EXP.WISE,PSR,1.68,0.905,2.4,2.4,2.4
MAN.F03.5,PSR,3.003312208,0.763440808,8.102688667,6.7,7.401344334
MAN.F08,PSR,2.076887273,1.426426197,6.1062145,4.5,5.30310725
MAN.F14,PSR,4.581665801,1.204094757,6.276115,6,6.1380575
MAN.F16,PSR,4.137627706,1.356986131,2.954786,2.6,2.777393
MAN.F18,PSR,3.677442771,1.840571931,4.070299,4.4,4.2351495
MAN.R06,PSR,3.021477403,1.109606,2.961436,3,2.980718
MAN.R11.5,PSR,0.420827013,2.636793652,2.353273,2.2,2.2766365
MAN.R12B,PSR,1.688353939,2.413687213,4.086916,5.2,4.643458
MAN.R21,PSR,7.099563636,2.13542163,3.1849695,2.6,2.89248475
