wavelength,class,r_b
400,rb_agar_2023,0.009662497
410,rb_agar_2023,0.009091717
420,rb_agar_2023,0.008842983
430,rb_agar_2023,0.008685662
440,rb_agar_2023,0.008746649
450,rb_agar_2023,0.009011092
460,rb_agar_2023,0.009283732
470,rb_agar_2023,0.009611931
480,rb_agar_2023,0.010125735
490,rb_agar_2023,0.010435522
500,rb_agar_2023,0.01066891
510,rb_agar_2023,0.011181954
520,rb_agar_2023,0.011877307
530,rb_agar_2023,0.012585266
540,rb_agar_2023,0.013590455
550,rb_agar_2023,0.015237303
560,rb_agar_2023,0.018448087
570,rb_agar_2023,0.022916594
580,rb_agar_2023,0.025987462
590,rb_agar_2023,0.027347253
600,rb_agar_2023,0.031278536
610,rb_agar_2023,0.029062833
620,rb_agar_2023,0.024038669
630,rb_agar_2023,0.022784897
640,rb_agar_2023,0.022643059
650,rb_agar_2023,0.025279113
660,rb_agar_2023,0.019912702
670,rb_agar_2023,0.023315099
680,rb_agar_2023,0.043905032
690,rb_agar_2023,0.074790495
700,rb_agar_2023,0.146275356
710,rb_agar_2023,0.296256703
720,rb_agar_2023,0.645624098
730,rb_agar_2023,0.999980491
740,rb_agar_2023,0.999754853
750,rb_agar_2023,0.916053454
400,rb_cca_2022,0.074504905
410,rb_cca_2022,0.068328605
420,rb_cca_2022,0.063502627
430,rb_cca_2022,0.061355529
440,rb_cca_2022,0.05933666
450,rb_cca_2022,0.067539379
460,rb_cca_2022,0.07727334
470,rb_cca_2022,0.078119828
480,rb_cca_2022,0.078584097
490,rb_cca_2022,0.071293786
500,rb_cca_2022,0.069401755
510,rb_cca_2022,0.0808253
520,rb_cca_2022,0.087724477
530,rb_cca_2022,0.085734406
540,rb_cca_2022,0.082825449
550,rb_cca_2022,0.08235852
560,rb_cca_2022,0.081492395
570,rb_cca_2022,0.081377382
580,rb_cca_2022,0.116952394
590,rb_cca_2022,0.166155445
600,rb_cca_2022,0.189784309
610,rb_cca_2022,0.180676984
620,rb_cca_2022,0.161153588
630,rb_cca_2022,0.158481058
