class,wavelength,r_rs_b_mean,r_rs_b_sd
agar,338.5,0.004069488759013164,0.001466414250572556
agar,340.2,0.004042955673983899,7.132280834723282e-4
agar,341.8,0.003942705270575504,7.287765571502266e-4
agar,343.4,0.003608635708253617,0.0016930924839234302
agar,345.1,0.00394970212096903,9.531006051180358e-4
agar,346.7,0.0029593752253852254,0.0016501673133796513
agar,348.4,0.0037358296712550554,9.086938655495335e-4
agar,350,0.004075641749554805,0.0021144715279277364
agar,351.6,0.003963041970878202,0.00145694594328131
agar,353.3,0.004369148344080769,0.0010525897843476524
agar,354.9,0.0042233453705051984,0.001030798724574674
agar,356.5,0.003694814746519292,0.0020465163188670356
agar,358.2,0.003353208340679928,0.0026701319187794354
agar,359.8,0.0037165655795812613,0.0022896852440659047
agar,361.4,0.003230212069592716,0.00224502791586488
agar,363.1,0.00306929194165146,8.464380995522418e-4
agar,364.7,0.0035827832515589807,9.343378067702841e-4
agar,366.3,0.003969891998028548,0.0010373883481720571
agar,368,0.00372157630959439,0.0013017118993435314
agar,369.6,0.003369929712659864,0.0017203250452480444
agar,371.2,0.003520525709963089,0.0011467720242028792
agar,372.8,0.003369396975843846,0.0010894520118700291
agar,374.5,0.00321620768380464,7.47573804490838e-4
agar,376.1,0.0029580031144522895,9.471177156779836e-4
agar,377.7,0.003059981328709809,0.0011807061437750105
agar,379.4,0.003231841987607206,0.00140357295469292
agar,381,0.0032441774902994456,9.27563247302028e-4
agar,382.6,0.002912956189263037,0.001132427630021436
agar,384.2,0.003063765642171044,0.0010737655406230409
agar,385.8,0.002823581199892953,6.990508934978323e-4
agar,387.5,0.002999045962286239,0.0012397647773827838
agar,389.1,0.003095449586172012,0.0013765723992162904
agar,390.7,0.0028947320454187015,0.0012794996309958
agar,392.3,0.0030219846669784457,9.58314076035568e-4
agar,394,0.0028531949633379965,8.914644568327237e-4
agar,395.6,0.0028328628684299853,9.901551136025288e-4
agar,397.2,0.002801178929807109,0.0011539361230041851
agar,398.8,0.0027689509393887964,0.0011380165532358468
agar,400.4,0.0028044901483871634,9.514230779656928e-4
agar,402,0.0027417773910313895,7.826493880451128e-4
agar,403.6,0.0026578276038693206,8.459477621568239e-4
agar,405.3,0.0026806408565204325,9.071637262949272e-4
agar,406.9,0.0027094807337657272,8.156031866956248e-4
agar,408.5,0.0026799813583675385,9.051402554508894e-4
agar,410.1,0.002618315358704544,9.654497336685863e-4
agar,411.7,0.0026295492014451563,9.886902428240768e-4
agar,413.3,0.002568064507987181,9.698469250217001e-4
agar,414.9,0.0025383941658631186,8.837105842238542e-4
agar,416.5,0.002558604422335047,8.863841644263474e-4
agar,418.2,0.0025726984732818104,8.930432171372822e-4
agar,419.8,0.002554415782524928,9.443451182998371e-4
agar,421.4,0.0025475451301467758,9.291620746576369e-4
agar,423,0.0025183216296398234,9.121627549567886e-4
agar,424.6,0.0025100220890767935,9.147180618683397e-4
agar,426.2,0.0025111063187834193,9.198350982248485e-4
agar,427.8,0.0024847744544710336,9.471282874840815e-4
agar,429.4,0.00248995903417017,9.783098840433593e-4
agar,431,0.002489664735038353,9.733896449270796e-4
agar,432.6,0.0025018299100024698,9.762306771196247e-4
agar,434.2,0.0025033328776101833,9.669767006117917e-4
agar,435.8,0.0025072657817331425,9.879500306424177e-4
agar,437.4,0.002505130788479917,9.965793191111653e-4
agar,439,0.0025143218931912943,0.0010056139809911128
agar,440.6,0.002524859310964909,0.0010119125437648353
agar,442.2,0.0025269854334570075,0.0010191662539106208
agar,443.8,0.0025374233903366285,0.001037782886426984
agar,445.4,0.002551276678134516,0.001041877047966718
agar,447,0.0025726256020651337,0.0010652052346935147
agar,448.6,0.0025894696801221253,0.0010880724197800677
agar,450.2,0.0026017212470406128,0.0010927561544211064
agar,451.8,0.002624320893697436,0.0010974781105003734
agar,453.4,0.0026363786854243384,0.0011082673507870127
agar,455,0.0026536856867514728,0.0011280999728790393
agar,456.6,0.0026641827099119016,0.0011449941437181106
agar,458.2,0.0026701329144101027,0.0011567692288586666
agar,459.8,0.002681257081415302,0.0011666927775307984
agar,461.4,0.0026930200484954533,0.001182948085610546
agar,463,0.0026964257487410246,0.0011933395723027875
