chl,adg.440,bbp550,chl.sd,acdom.440.sd,anap440.sd
0.011597011,0.003173152,0.002055027,4.07E-06,NA,1.04E-07
0.04404322,0.006703616,0.001489878,1.36E-05,NA,1.43E-07
0.040043116,0.005493582,0.001917368,1.12E-05,NA,1.39E-07
0.01,0.007980561,0.002065204,2.95E-06,NA,1.00E-07
0.029777347,0.004048264,0.001942925,9.12E-06,NA,1.33E-07
0.030614364,0.005605981,0.002061638,8.90E-06,NA,1.32E-07
0.032132934,0.005642683,0.002170708,8.91E-06,NA,1.33E-07
0.043405429,0.00471731,0.001560408,1.34E-05,NA,1.42E-07
0.036514835,0.006638916,0.00190834,1.06E-05,NA,1.38E-07
0.044402782,0.007009778,0.002509939,1.01E-05,NA,1.38E-07
0.052309534,0.006474188,0.001335945,1.66E-05,NA,1.49E-07
0.043892268,0.004668131,0.002156485,1.09E-05,NA,1.38E-07
0.01,0.007192217,0.001866925,3.43E-06,NA,1.00E-07
0.01,0.005852156,0.001346582,4.44E-06,NA,1.04E-07
0.044949481,0.005595954,0.002236153,1.09E-05,NA,1.39E-07
0.032147456,0.003581283,0.001735391,1.03E-05,NA,1.36E-07
0.01,0.007228493,0.001107236,3.92E-06,NA,1.00E-07
0.049138955,0.005133229,0.001,1.78E-05,NA,1.51E-07
0.039042047,0.002557152,0.001800444,1.14E-05,NA,1.40E-07
0.03638873,0.006382441,0.002088257,9.83E-06,NA,1.36E-07
0.039227247,0.003066822,0.002136326,1.05E-05,NA,1.40E-07
0.048940161,0.005578947,0.001248429,1.63E-05,NA,1.47E-07
0.032152391,0.001805948,0.002928684,7.06E-06,NA,1.27E-07
0.054031989,0.005168086,0.002171475,1.27E-05,NA,1.44E-07
0.046607652,0.007087674,0.001886085,1.23E-05,NA,1.41E-07
0.072254735,0.004260341,0.001796687,1.77E-05,NA,1.53E-07
0.096688785,0.00995791,0.002807005,1.68E-05,NA,1.60E-07
0.115248899,0.013131675,0.001429707,2.74E-05,NA,1.77E-07
0.090301164,0.010201532,0.001583739,2.26E-05,NA,1.65E-07
0.042842233,0.004573479,0.003583181,7.60E-06,NA,1.33E-07
0.067305607,0.006735825,0.003343835,1.11E-05,NA,1.45E-07
0.07562963,0.009433753,0.001186921,2.26E-05,NA,1.61E-07
0.053213002,0.008026909,0.002305331,1.20E-05,NA,1.43E-07
0.079638952,0.010271746,0.002528349,1.55E-05,NA,1.55E-07
0.107602375,0.011035999,0.001,3.59E-05,NA,1.53E-07
0.107051871,0.012222183,0.002136646,2.15E-05,NA,1.68E-07
0.070860774,0.008008343,0.002061802,1.61E-05,NA,1.52E-07
