chl,adg.440,bbp550,chl.sd,adg440.sd,bbp550.sd
69.61111611,1.381693542,0.062786189,0.414245065,0.011309754,1.17E-05
67.92477875,0.646274759,0.028947696,0.622082151,0.01362401,7.78E-06
76.18173394,0.493372888,0.018267292,0.601847531,0.014558248,2.80E-06
12.86187455,1.11186962,0.055893713,0.050613589,0.002528401,2.43E-06
95.02439779,0.291973635,0.042476936,0.446841716,0.006816361,1.14E-05
138.0122445,0.235348354,0.031674849,8.655769063,0.026694378,1.49E-05
34.69422359,0.547610405,0.030922236,0.288309525,0.008421526,9.44E-06
5.148782186,0.952910867,0.033748788,0.043091959,0.002774005,8.94E-06
0.098669147,0.01167207,0.002521487,0.000755075,6.33E-05,2.23E-07
1.13296641,0.015737947,0.002242315,0.012535106,0.000324872,4.73E-07
2.634938996,0.011820188,0.002526744,0.033653121,0.000602396,8.91E-07
1.309036312,0.019413684,0.003427477,0.010825989,0.000285113,5.31E-07
0.893349381,0.01686403,0.00365417,0.006179451,0.000188131,4.14E-07
0.302818178,0.022723546,0.002178558,0.003471613,0.00019553,3.10E-07
0.243695156,0.021327039,0.001902731,0.002971536,0.000182667,2.93E-07
1.677832449,0.145820889,0.006222305,0.02219017,0.001161928,1.06E-06
0.615404835,0.190077931,0.00274222,0.036741086,0.003233968,1.03E-06
0.29419169,0.214100444,0.002855768,0.025033274,0.003252344,1.04E-06
0.05,0.319960158,0.002972579,NA,7.08E-05,7.58E-07
0.05,0.202991915,0.002165001,NA,NA,5.90E-07
0.47289828,0.128306724,0.00101259,0.045189572,0.003878961,7.75E-07
1.779199356,0.100495743,0.006601382,0.018726954,0.00081341,9.73E-07
0.05,0.075008431,0.001790422,0.000887989,8.01E-05,3.43E-07
0.116114936,0.013112494,0.001803053,0.00103518,8.03E-05,2.30E-07
0.05,0.765605156,0.001894117,NA,0.000692514,1.82E-06
0.05,0.113936701,0.00181293,NA,NA,4.22E-07
0.025644111,0.005798663,0.001500804,0.000219668,2.99E-05,7.20E-08
0.01470129,0.005364856,0.001393016,0.000136475,2.50E-05,8.27E-08
0.000163758,0.005901628,0.001691242,6.15E-06,2.00E-05,3.32E-08
0.0136352,0.009136523,0.001,0.000198985,4.43E-05,1.01E-07
0.015348302,0.009036094,0.001233119,0.000197468,4.17E-05,1.02E-07
0.010695267,0.006182023,0.001125015,0.000122964,2.78E-05,6.60E-08
0.062828734,0.016345291,0.001130087,0.000932384,0.000106804,2.32E-07
0.012940356,0.009769037,0.001,0.000205457,4.86E-05,1.91E-07
0.05,0.01,0.001047962,NA,1.01E-06,6.48E-07
0.039445715,0.002550982,0.001830223,0.00024466,2.21E-05,1.17E-07
0.06919506,0.005580691,0.001288332,0.000547418,4.27E-05,2.70E-07
130.6671977,-0.316729209,0.021243372,0.010694893,2.54E-05,4.19E-06
181.1230579,-0.339759293,0.040100808,NA,NA,6.18E-06
25.24675167,2.698934027,0.402567443,0.037326609,0.001573067,3.22E-06
140.9558762,0.26719526,0.025602917,NA,0.008445097,1.88E-06
17.09759303,0.938070072,0.019563932,0.167166578,0.007050308,2.25E-06
13.02200944,0.940260535,0.041845851,0.058375233,0.002633646,2.01E-06
4.642346545,0.451719943,0.04886384,0.024692694,0.001365682,8.36E-06
0.194214171,0.680113705,0.023840179,0.0094658,0.001837057,6.04E-06
17.67010562,0.602455357,0.017086244,0.174998635,0.006221486,2.82E-06
4.784029947,0.443405653,0.015736966,0.048380489,0.002528533,1.74E-06
