chl,adg.440,bbp550,chl.sd,adg440.sd,bbp550.sd
69.61111611,1.381693542,0.114804138,0.414245065,0.011309754,NA
67.92477875,0.646274759,0.053687649,0.622082151,0.01362401,NA
76.18173394,0.493372888,0.0425818,0.601847531,0.014558248,NA
12.86187455,1.11186962,0.132236214,0.050613589,0.002528401,NA
95.02439779,0.291973635,0.070119549,0.446841716,0.006816361,NA
138.0122445,0.235348354,0.03931163,8.655769063,0.026694378,0.001472907
34.69422359,0.547610405,0.043176755,0.288309525,0.008421526,NA
5.148782186,0.952910867,0.065889475,0.043091959,0.002774005,NA
0.098669147,0.01167207,0.003550238,0.000755075,6.33E-05,NA
1.13296641,0.015737947,0.003370739,0.012535106,0.000324872,NA
2.634938996,0.011820188,0.00343325,0.033653121,0.000602396,NA
1.309036312,0.019413684,0.005181735,0.010825989,0.000285113,NA
0.893349381,0.01686403,0.005532824,0.006179451,0.000188131,NA
0.302818178,0.022723546,0.003334671,0.003471613,0.00019553,NA
0.243695156,0.021327039,0.002942458,0.002971536,0.000182667,NA
1.677832449,0.145820889,0.011354909,0.02219017,0.001161928,NA
0.615404835,0.190077931,0.004160975,0.036741086,0.003233968,NA
0.29419169,0.214100444,0.004159304,0.025033274,0.003252344,NA
0.05,0.319960158,0.002946931,NA,7.08E-05,9.58E-07
0.05,0.202991915,0.002146063,NA,NA,6.55E-07
0.47289828,0.128306724,0.001593133,0.045189572,0.003878961,NA
1.779199356,0.100495743,0.010373847,0.018726954,0.00081341,NA
0.05,0.075008431,0.001795474,0.000887989,8.01E-05,5.00E-07
0.116114936,0.013112494,0.003024541,0.00103518,8.03E-05,NA
0.05,0.765605156,0.00189177,NA,0.000692514,1.79E-06
0.05,0.113936701,0.001805942,NA,NA,4.25E-07
0.025644111,0.005798663,0.002135136,0.000219668,2.99E-05,NA
0.01470129,0.005364856,0.002113438,0.000136475,2.50E-05,NA
0.000163758,0.005901628,0.002040401,6.15E-06,2.00E-05,NA
0.0136352,0.009136523,0.001643236,0.000198985,4.43E-05,NA
0.015348302,0.009036094,0.001956191,0.000197468,4.17E-05,NA
0.010695267,0.006182023,0.001823083,0.000122964,2.78E-05,NA
0.062828734,0.016345291,0.001990298,0.000932384,0.000106804,NA
0.012940356,0.009769037,0.001590012,0.000205457,4.86E-05,NA
0.05,0.01,0.001480452,NA,1.01E-06,NA
0.039445715,0.002550982,0.002080531,0.00024466,2.21E-05,NA
0.06919506,0.005580691,0.001958191,0.000547418,4.27E-05,NA
130.6671977,-0.316729209,0.051635157,0.010694893,2.54E-05,4.26E-06
181.1230579,-0.339759293,0.094212154,NA,NA,NA
25.24675167,2.698934027,3.316953011,0.037326609,0.001573067,NA
140.9558762,0.26719526,0.07618201,NA,0.008445097,NA
17.09759303,0.938070072,0.04611073,0.167166578,0.007050308,NA
13.02200944,0.940260535,0.109294202,0.058375233,0.002633646,NA
4.642346545,0.451719943,0.057340516,0.024692694,0.001365682,NA
0.194214171,0.680113705,0.03263783,0.0094658,0.001837057,NA
17.67010562,0.602455357,0.038245836,0.174998635,0.006221486,NA
4.784029947,0.443405653,0.032455813,0.048380489,0.002528533,NA
67.25409098,2.180060104,0.040613927,1.414779144,0.043089416,NA
8.944537459,0.375455663,0.020037301,0.122953664,0.00493833,NA
4.55098993,0.340698007,0.004944703,0.273561227,0.012957389,NA
376.6524182,0.798956197,0.032760371,NA,0.120515705,NA
56.29302853,0.856335633,0.027442425,1.104574057,0.028494857,NA
70.58234754,0.525436924,0.026246146,NA,0.024737391,NA
11.97637091,1.639869964,0.110183765,0.071897432,0.004020256,NA
